State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARKANSAS,Non-Metro,Dallas,2,0,0,0,2,31,12,19,0,1
ARKANSAS,Non-Metro,Drew,32,0,5,0,27,106,47,49,10,2
ARKANSAS,Non-Metro,Fulton,27,0,2,0,25,79,35,42,2,2
ARKANSAS,Non-Metro,Greene,7,0,1,2,4,185,48,126,11,3
ARKANSAS,Non-Metro,Howard,13,0,1,0,12,46,28,18,0,0
ARKANSAS,Non-Metro,Independence,210,1,22,9,178,"1,414",546,774,94,21
ARKANSAS,Non-Metro,Izard,7,1,1,0,5,124,60,64,0,4
ARKANSAS,Non-Metro,Jackson,30,0,0,1,29,176,42,108,26,2
ARKANSAS,Non-Metro,Johnson,36,1,3,0,32,173,130,43,0,16
ARKANSAS,Non-Metro,Lawrence,19,0,2,0,17,184,78,106,0,1
ARKANSAS,Non-Metro,Little River,12,0,0,0,12,72,20,46,6,4
ARKANSAS,Non-Metro,Logan,23,0,1,2,20,248,84,151,13,2
ARKANSAS,Non-Metro,Marion,26,0,1,1,24,147,64,77,6,4
ARKANSAS,Non-Metro,Mississippi,29,1,9,1,18,389,106,246,37,0
ARKANSAS,Non-Metro,Monroe,5,0,1,1,3,78,38,40,0,1
ARKANSAS,Non-Metro,Montgomery,3,0,2,0,1,19,9,6,4,0
ARKANSAS,Non-Metro,Nevada,5,0,1,0,4,42,21,18,3,0
ARKANSAS,Non-Metro,Newton,7,1,2,0,4,104,41,62,1,2
ARKANSAS,Non-Metro,Pike,4,0,1,0,3,44,19,17,8,0
ARKANSAS,Non-Metro,Polk,50,0,4,0,46,232,114,112,6,5
ARKANSAS,Non-Metro,Pope,38,0,4,1,33,340,145,166,29,3
ARKANSAS,Non-Metro,Randolph,2,0,2,0,0,45,43,0,2,1
ARKANSAS,Non-Metro,Scott,6,0,3,0,3,85,35,41,9,2
ARKANSAS,Non-Metro,Searcy,8,0,1,1,6,30,14,14,2,1
ARKANSAS,Non-Metro,Sevier,14,0,2,1,11,178,55,113,10,2
ARKANSAS,Non-Metro,St. Francis,31,1,5,7,18,408,169,239,0,8
ARKANSAS,Non-Metro,Stone,21,0,2,0,19,109,55,52,2,1
ARKANSAS,Non-Metro,Union,46,1,3,6,36,370,91,252,27,0
ARKANSAS,Non-Metro,Van Buren,53,0,1,0,52,226,49,150,27,6
ARKANSAS,Non-Metro,White,70,4,11,0,55,775,312,369,94,7
ARKANSAS,Non-Metro,Yell,6,0,1,0,5,16,13,3,0,2
CALIFORNIA,Metro,Alameda,698,8,18,235,437,"2,212",622,"1,041",549,34
CALIFORNIA,Metro,Butte,133,4,18,24,87,"1,296",564,721,11,43
CALIFORNIA,Metro,Contra Costa,449,12,28,119,290,"2,754","1,011","1,729",14,23
CALIFORNIA,Metro,El Dorado,256,3,15,34,204,"1,990",864,"1,114",12,7
CALIFORNIA,Metro,Fresno,727,10,33,116,568,"4,442","1,466","2,230",746,229
CALIFORNIA,Metro,Imperial,265,2,9,13,241,600,283,295,22,10
CALIFORNIA,Metro,Kern,"1,977",34,95,463,"1,385","10,246","3,368","5,152","1,726",297
CALIFORNIA,Metro,Kings,140,1,9,12,118,594,243,306,45,10
CALIFORNIA,Metro,Los Angeles,"6,497",86,208,"1,770","4,433","17,310","5,046","8,174","4,090",243
CALIFORNIA,Metro,Madera,233,2,22,24,185,"1,357",585,755,17,2
CALIFORNIA,Metro,Marin,115,1,6,28,80,813,239,573,1,1
CALIFORNIA,Metro,Merced,484,12,22,49,401,"2,026",778,"1,227",21,7
CALIFORNIA,Metro,Monterey,228,11,19,51,147,"1,316",567,735,14,15
CALIFORNIA,Metro,Napa,56,0,3,2,51,379,157,219,3,0
CALIFORNIA,Metro,Orange,187,0,8,32,147,"1,275",255,910,110,7
CALIFORNIA,Metro,Placer,298,0,24,30,244,"1,950",645,"1,275",30,8
CALIFORNIA,Metro,Riverside,"1,018",21,50,247,700,"10,310","2,892","5,776","1,642",24
CALIFORNIA,Metro,Sacramento,"2,902",39,155,"1,131","1,577","14,506","5,038","9,309",159,124
CALIFORNIA,Metro,San Benito,53,0,4,5,44,336,134,197,5,0
CALIFORNIA,Metro,San Bernardino,"1,093",16,61,145,871,"5,580","1,942","2,574","1,064",62
CALIFORNIA,Metro,San Diego,"1,432",13,87,278,"1,054","5,985","1,755","3,106","1,124",38
CALIFORNIA,Metro,San Joaquin,738,8,17,168,545,"4,418","1,656","2,664",98,24
CALIFORNIA,Metro,San Luis Obispo,241,6,18,18,199,"1,295",437,853,5,5
CALIFORNIA,Metro,San Mateo,224,2,18,53,151,"1,770",229,"1,332",209,6
CALIFORNIA,Metro,Santa Barbara,285,3,34,27,221,"1,481",564,912,5,5
CALIFORNIA,Metro,Santa Clara,254,1,28,24,201,"1,762",438,"1,113",211,2
