State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
GEORGIA,Metro,Pike,8,2,2,1,3,109,35,69,5,0
GEORGIA,Metro,Rockdale,325,5,13,34,273,"2,223",591,"1,458",174,6
GEORGIA,Metro,Spalding,127,2,11,20,94,"1,595",430,959,206,0
GEORGIA,Metro,Terrell,21,0,2,0,19,105,31,61,13,0
GEORGIA,Metro,Twiggs,12,0,0,1,11,166,54,95,17,
GEORGIA,Metro,Walker,208,3,2,6,197,"1,014",312,637,65,
GEORGIA,Metro,Walton,112,1,7,7,97,"1,007",258,664,85,0
GEORGIA,Metro,Whitfield,180,5,23,9,143,"1,729",479,"1,133",117,10
GEORGIA,Metro,Worth,2,1,0,1,0,191,56,108,27,1
GEORGIA,Non-Metro,Baldwin,291,0,7,16,268,994,428,552,14,0
GEORGIA,Non-Metro,Banks,50,0,0,1,49,536,111,395,30,1
GEORGIA,Non-Metro,Ben Hill,15,0,5,0,10,223,58,147,18,0
GEORGIA,Non-Metro,Berrien,23,0,3,1,19,214,65,149,0,0
GEORGIA,Non-Metro,Bleckley,12,0,0,1,11,171,69,88,14,0
GEORGIA,Non-Metro,Bulloch,25,1,0,11,13,721,251,418,52,
GEORGIA,Non-Metro,Calhoun,4,0,0,0,4,46,21,16,9,
GEORGIA,Non-Metro,Camden,47,0,1,4,42,405,133,259,13,0
GEORGIA,Non-Metro,Candler,0,0,0,0,0,54,21,33,0,0
GEORGIA,Non-Metro,Charlton,9,0,1,0,8,105,40,53,12,0
GEORGIA,Non-Metro,Chattooga,24,0,3,0,21,213,60,143,10,0
GEORGIA,Non-Metro,Clinch,5,0,0,2,3,63,23,38,2,0
GEORGIA,Non-Metro,Coffee,46,0,6,9,31,703,207,451,45,3
GEORGIA,Non-Metro,Cook,21,0,0,0,21,180,51,118,11,0
GEORGIA,Non-Metro,Crisp,18,0,0,0,18,380,89,276,15,0
GEORGIA,Non-Metro,Decatur,28,0,2,2,24,263,72,181,10,6
GEORGIA,Non-Metro,Dodge,24,1,1,2,20,395,137,247,11,1
GEORGIA,Non-Metro,Dooly,16,0,0,1,15,72,22,50,0,0
GEORGIA,Non-Metro,Early,24,2,1,3,18,139,40,95,4,0
GEORGIA,Non-Metro,Elbert,43,0,4,4,35,690,218,449,23,0
GEORGIA,Non-Metro,Emanuel,7,1,0,0,6,397,235,130,32,0
GEORGIA,Non-Metro,Fannin,107,0,3,2,102,345,151,174,20,1
GEORGIA,Non-Metro,Franklin,8,0,3,1,4,381,141,211,29,
GEORGIA,Non-Metro,Gilmer,36,2,10,1,23,344,112,205,27,0
GEORGIA,Non-Metro,Gordon,159,2,3,11,143,737,229,505,3,0
GEORGIA,Non-Metro,Grady,14,1,1,2,10,196,87,97,12,0
GEORGIA,Non-Metro,Greene,23,1,1,4,17,212,57,150,5,0
GEORGIA,Non-Metro,Habersham,49,0,10,2,37,499,186,293,20,0
GEORGIA,Non-Metro,Hancock,1,0,0,1,0,56,22,32,2,
GEORGIA,Non-Metro,Hart,66,0,2,2,62,474,170,282,22,
GEORGIA,Non-Metro,Irwin,6,0,0,0,6,167,55,98,14,0
GEORGIA,Non-Metro,Jackson,31,3,5,5,18,915,258,605,52,
GEORGIA,Non-Metro,Jeff Davis,25,0,1,6,18,323,75,217,31,0
GEORGIA,Non-Metro,Jefferson,13,0,2,2,9,175,91,75,9,4
GEORGIA,Non-Metro,Johnson,37,0,0,0,37,82,41,34,7,
GEORGIA,Non-Metro,Laurens,39,0,2,14,23,775,186,502,87,3
GEORGIA,Non-Metro,Lumpkin,80,0,3,1,76,454,117,307,30,4
GEORGIA,Non-Metro,Macon,0,0,0,0,0,64,26,31,7,0
GEORGIA,Non-Metro,Miller,1,0,0,0,1,44,17,23,4,0
GEORGIA,Non-Metro,Mitchell,46,0,0,2,44,208,67,121,20,0
GEORGIA,Non-Metro,Morgan,13,0,0,0,13,160,47,84,29,1
GEORGIA,Non-Metro,Peach,20,1,2,2,15,309,109,158,42,0
GEORGIA,Non-Metro,Pierce,0,0,0,0,0,,,96,3,0
GEORGIA,Non-Metro,Polk,82,1,7,2,72,808,267,451,90,
GEORGIA,Non-Metro,Putnam,52,1,2,1,48,423,148,260,15,
GEORGIA,Non-Metro,Quitman,22,0,1,3,18,49,18,28,3,
GEORGIA,Non-Metro,Rabun,11,1,2,0,8,148,43,90,15,0
GEORGIA,Non-Metro,Schley,2,0,0,0,2,13,5,7,1,0
GEORGIA,Non-Metro,Seminole,13,0,1,0,12,76,30,41,5,2
GEORGIA,Non-Metro,Stephens,20,0,0,0,20,597,133,448,16,0
GEORGIA,Non-Metro,Sumter,29,0,4,2,23,297,94,178,25,0
GEORGIA,Non-Metro,Talbot,11,0,0,1,10,57,41,13,3,
GEORGIA,Non-Metro,Taliaferro,6,0,0,0,6,72,37,32,3,0
GEORGIA,Non-Metro,Tattnall,18,0,0,3,15,270,94,152,24,0
GEORGIA,Non-Metro,Taylor,2,0,0,1,1,71,20,40,11,
GEORGIA,Non-Metro,Telfair,10,0,0,1,9,80,33,41,6,
GEORGIA,Non-Metro,Thomas,39,2,7,10,20,570,233,295,42,10
GEORGIA,Non-Metro,Tift,137,1,5,28,103,817,262,504,51,
GEORGIA,Non-Metro,Toombs,20,0,3,0,17,275,95,144,36,3
GEORGIA,Non-Metro,Towns,7,0,0,0,7,122,55,62,5,1
GEORGIA,Non-Metro,Treutlen,4,1,0,0,3,76,33,38,5,
GEORGIA,Non-Metro,Troup,25,1,1,6,17,734,189,485,60,
GEORGIA,Non-Metro,Turner,7,0,0,1,6,86,16,65,5,0
GEORGIA,Non-Metro,Union,11,0,2,0,9,127,48,67,12,
GEORGIA,Non-Metro,Upson,18,0,0,2,16,433,151,271,11,0
GEORGIA,Non-Metro,Ware,36,0,11,4,21,672,167,465,40,
GEORGIA,Non-Metro,Washington,28,1,1,2,24,227,112,108,7,0
GEORGIA,Non-Metro,Wheeler,1,0,0,0,1,83,35,36,12,0
GEORGIA,Non-Metro,White,18,0,3,2,13,325,145,158,22,
GEORGIA,Non-Metro,Wilcox,4,0,2,0,2,66,25,37,4,0
GEORGIA,Non-Metro,Wilkes,4,0,0,0,4,17,5,10,2,0
GEORGIA,Non-Metro,Wilkinson,14,0,1,1,12,102,41,55,6,0
HAWAII,Non-Metro,Hawaii,514,3,85,79,347,"5,255","1,141","3,627",487,21
HAWAII,Non-Metro,Kauai,246,2,40,18,186,"2,476",714,"1,652",110,10
IDAHO,Metro,Ada,119,1,16,4,98,968,246,691,31,10
IDAHO,Metro,Bonneville,88,0,9,1,78,801,213,551,37,5
IDAHO,Metro,Canyon,61,1,9,1,50,598,226,335,37,2
IDAHO,Metro,Franklin,9,0,1,0,8,29,6,21,2,0
IDAHO,Metro,Gem,13,0,0,0,13,40,20,19,1,0
IDAHO,Metro,Jefferson,13,0,1,0,12,84,27,50,7,1
IDAHO,Metro,Kootenai,97,2,13,4,78,"1,122",331,744,47,9
IDAHO,Metro,Nez Perce,10,0,2,0,8,119,25,89,5,0
IDAHO,Metro,Owyhee,13,0,4,0,9,132,26,96,10,1
IDAHO,Metro,Power,2,0,2,0,0,45,5,38,2,1
IDAHO,Non-Metro,Adams,8,0,0,0,8,52,5,44,3,0
IDAHO,Non-Metro,Bear Lake,1,0,0,0,1,39,6,31,2,0
IDAHO,Non-Metro,Benewah,4,0,0,0,4,32,10,18,4,0
IDAHO,Non-Metro,Bingham,32,0,12,2,18,271,80,174,17,1
IDAHO,Non-Metro,Blaine,4,0,0,0,4,23,10,13,0,2
IDAHO,Non-Metro,Bonner,37,1,5,1,30,434,150,238,46,4
IDAHO,Non-Metro,Boundary,7,0,0,1,6,85,29,50,6,0
IDAHO,Non-Metro,Butte,7,0,1,1,5,2,1,1,0,0
IDAHO,Non-Metro,Camas,0,0,0,0,0,10,6,4,0,0
IDAHO,Non-Metro,Caribou,2,0,1,0,1,13,8,5,0,0
IDAHO,Non-Metro,Clearwater,16,0,0,0,16,97,17,76,4,0
IDAHO,Non-Metro,Elmore,18,0,3,0,15,48,12,31,5,0
IDAHO,Non-Metro,Fremont,4,0,0,0,4,66,3,58,5,0
IDAHO,Non-Metro,Gooding,11,0,2,0,9,46,10,31,5,0
IDAHO,Non-Metro,Idaho,8,0,2,0,6,91,19,65,7,1
IDAHO,Non-Metro,Jerome,3,0,0,0,3,70,18,45,7,0
IDAHO,Non-Metro,Latah,23,0,6,0,17,157,72,76,9,2
IDAHO,Non-Metro,Lemhi,5,0,1,0,4,37,8,25,4,1
IDAHO,Non-Metro,Lewis,5,0,0,0,5,36,13,22,1,1
IDAHO,Non-Metro,Lincoln,5,0,1,0,4,13,3,8,2,0
IDAHO,Non-Metro,Madison,9,0,6,0,3,74,24,49,1,0
IDAHO,Non-Metro,Minidoka,3,0,1,0,2,145,45,91,9,0
IDAHO,Non-Metro,Oneida,4,0,0,0,4,25,9,15,1,0
IDAHO,Non-Metro,Payette,23,0,4,1,18,102,36,60,6,0
IDAHO,Non-Metro,Shoshone,34,0,9,0,25,160,50,102,8,0
IDAHO,Non-Metro,Teton,1,0,1,0,0,78,14,62,2,2
IDAHO,Non-Metro,Twin Falls,35,0,3,1,31,205,78,104,23,6
IDAHO,Non-Metro,Valley,16,0,6,0,10,73,22,47,4,2
IDAHO,Non-Metro,Washington,2,0,0,0,2,16,9,7,0,0
ILLINOIS,Metro,Bond,6,0,0,0,6,142,46,91,5,0
ILLINOIS,Metro,Boone,21,0,5,0,16,295,72,211,12,137
ILLINOIS,Metro,Champaign,148,4,24,5,115,531,157,350,24,13
ILLINOIS,Metro,Clinton,9,0,5,0,4,162,19,141,2,0
ILLINOIS,Metro,De Kalb,33,0,8,1,24,268,58,199,11,2
ILLINOIS,Metro,Du Page,79,0,11,13,55,"1,334",296,"1,006",32,0
ILLINOIS,Metro,Grundy,2,0,0,0,2,210,58,148,4,3
ILLINOIS,Metro,Henry,0,0,0,0,0,79,19,56,4,0
ILLINOIS,Metro,Jersey,28,0,9,1,18,137,31,105,1,0
ILLINOIS,Metro,Kendall,63,1,9,3,50,399,109,283,7,7
ILLINOIS,Metro,Lake,83,2,13,10,58,"1,714",459,"1,178",77,15
ILLINOIS,Metro,Macon,66,0,9,0,57,432,147,273,12,1
ILLINOIS,Metro,Macoupin,10,0,3,0,7,245,75,167,3,2
ILLINOIS,Metro,Madison,90,1,8,5,76,"1,108",316,766,26,4
ILLINOIS,Metro,Marshall,0,0,0,0,0,45,17,26,2,0
ILLINOIS,Metro,McLean,42,0,15,4,23,206,67,122,17,3
ILLINOIS,Metro,Mercer,26,0,8,0,18,152,57,88,7,0
ILLINOIS,Metro,Peoria,180,2,40,19,119,743,180,522,41,12
ILLINOIS,Metro,Piatt,22,0,6,0,16,121,33,85,3,1
ILLINOIS,Metro,Rock Island,51,0,11,4,36,313,95,209,9,1
ILLINOIS,Metro,Sangamon,170,1,29,19,121,944,406,499,39,14
ILLINOIS,Metro,Stark,11,0,2,0,9,72,18,50,4,3
ILLINOIS,Metro,St. Clair,85,1,23,15,46,"1,050",281,679,90,17
ILLINOIS,Metro,Tazewell,1,0,0,0,1,243,85,142,16,1
ILLINOIS,Metro,Vermilion,69,0,13,4,52,487,168,304,15,0
ILLINOIS,Metro,Winnebago,120,1,22,16,81,"1,200",399,735,66,3
ILLINOIS,Metro,Woodford,4,0,0,1,3,141,33,101,7,0
ILLINOIS,Non-Metro,Adams,22,0,3,0,19,223,63,151,9,0
ILLINOIS,Non-Metro,Bureau,15,0,0,0,15,221,61,157,3,1
ILLINOIS,Non-Metro,Cass,2,0,0,0,2,64,27,36,1,0
ILLINOIS,Non-Metro,Christian,72,0,0,0,72,148,28,113,7,3
ILLINOIS,Non-Metro,Clark,3,0,0,0,3,72,33,37,2,2
ILLINOIS,Non-Metro,Clay,4,0,0,0,4,64,20,43,1,8
ILLINOIS,Non-Metro,Coles,5,0,0,0,5,105,24,77,4,1
ILLINOIS,Non-Metro,Crawford,1,0,0,0,1,59,23,33,3,0
ILLINOIS,Non-Metro,Douglas,13,0,0,0,13,28,3,24,1,0
ILLINOIS,Non-Metro,Edgar,26,0,5,0,21,65,29,32,4,0
ILLINOIS,Non-Metro,Effingham,9,0,0,0,9,166,54,99,13,2
ILLINOIS,Non-Metro,Franklin,12,0,0,1,11,283,102,172,9,4
ILLINOIS,Non-Metro,Fulton,8,0,0,0,8,133,34,89,10,0
ILLINOIS,Non-Metro,Gallatin,3,0,0,0,3,66,19,46,1,0
ILLINOIS,Non-Metro,Iroquois,5,0,0,0,5,150,75,73,2,0
ILLINOIS,Non-Metro,Jackson,47,0,11,5,31,336,162,161,13,3
ILLINOIS,Non-Metro,Jefferson,52,0,4,2,46,339,130,177,32,7
ILLINOIS,Non-Metro,Johnson,23,0,1,0,22,105,28,67,10,1
ILLINOIS,Non-Metro,La Salle,32,0,15,1,16,400,130,258,12,10
ILLINOIS,Non-Metro,Lawrence,15,0,0,0,15,24,14,9,1,0
ILLINOIS,Non-Metro,Livingston,15,0,6,2,7,278,54,215,9,47
ILLINOIS,Non-Metro,Marion,18,0,8,1,9,277,93,165,19,0
ILLINOIS,Non-Metro,Mason,20,0,5,0,15,132,31,99,2,2
ILLINOIS,Non-Metro,Massac,9,0,0,0,9,146,49,92,5,1
ILLINOIS,Non-Metro,McDonough,6,0,0,0,6,91,31,58,2,1
ILLINOIS,Non-Metro,Montgomery,108,0,0,0,108,153,74,79,0,0
ILLINOIS,Non-Metro,Morgan,10,1,2,0,7,112,42,66,4,3
ILLINOIS,Non-Metro,Moultrie,8,0,2,1,5,54,13,41,0,0
ILLINOIS,Non-Metro,Ogle,13,0,6,0,7,308,74,221,13,1
ILLINOIS,Non-Metro,Perry,22,3,1,2,16,88,50,38,0,0
ILLINOIS,Non-Metro,Pike,1,0,1,0,0,7,3,4,0,0
ILLINOIS,Non-Metro,Pope,13,0,0,0,13,45,25,19,1,0
ILLINOIS,Non-Metro,Pulaski,79,0,5,2,72,104,38,55,11,0
ILLINOIS,Non-Metro,Putnam,4,0,3,0,1,48,13,35,0,0
ILLINOIS,Non-Metro,Richland,6,0,1,1,4,91,32,52,7,0
ILLINOIS,Non-Metro,Schuyler,5,0,0,0,5,10,2,8,0,0
ILLINOIS,Non-Metro,Shelby,12,0,0,0,12,66,28,38,0,0
ILLINOIS,Non-Metro,Stephenson,6,1,1,1,3,208,56,144,8,1
ILLINOIS,Non-Metro,Union,15,0,2,0,13,107,18,82,7,0
ILLINOIS,Non-Metro,Warren,11,0,0,0,11,89,31,56,2,0
ILLINOIS,Non-Metro,Washington,37,0,0,0,37,66,27,38,1,0
ILLINOIS,Non-Metro,White,6,0,0,0,6,168,53,113,2,3
ILLINOIS,Non-Metro,Whiteside,22,0,11,0,11,233,81,144,8,0
ILLINOIS,Non-Metro,Williamson,9,0,1,1,7,359,139,207,13,8
INDIANA,Metro,Allen,65,2,14,10,39,872,187,635,50,0
INDIANA,Metro,Bartholomew,30,0,10,1,19,497,138,322,37,1
INDIANA,Metro,Boone,1,0,0,1,0,170,42,118,10,0
INDIANA,Metro,Brown,2,0,1,0,1,97,42,54,1,1
INDIANA,Metro,Carroll,12,0,3,0,9,174,63,98,13,
INDIANA,Metro,Clark,70,0,10,8,52,745,268,435,42,3
INDIANA,Metro,Delaware,19,0,6,1,12,490,113,316,61,0
INDIANA,Metro,Elkhart,42,1,9,23,9,"1,646",533,987,126,13
INDIANA,Metro,Floyd,0,0,0,0,0,651,150,469,32,1
INDIANA,Metro,Franklin,1,0,0,0,1,126,80,41,5,3
INDIANA,Metro,Gibson,5,0,0,1,4,139,31,105,3,6
INDIANA,Metro,Greene,6,0,3,1,2,159,47,99,13,1
INDIANA,Metro,Hancock,11,0,3,3,5,286,78,192,16,0
INDIANA,Metro,Harrison,11,1,0,3,7,422,106,298,18,
INDIANA,Metro,Howard,37,0,4,3,30,453,208,230,15,0
INDIANA,Metro,Lake,32,1,3,15,13,"1,023",176,773,74,0
INDIANA,Metro,La Porte,28,0,6,9,13,816,312,458,46,1
INDIANA,Metro,Madison,30,0,4,3,23,478,200,246,32,0
INDIANA,Metro,Monroe,60,3,12,6,39,"1,025",349,613,63,3
INDIANA,Metro,Newton,14,0,2,0,12,206,77,117,12,4
INDIANA,Metro,Porter,42,0,0,4,38,771,124,604,43,1
INDIANA,Metro,Putnam,9,2,1,1,5,245,106,114,25,2
INDIANA,Metro,Shelby,28,0,4,2,22,279,103,157,19,2
INDIANA,Metro,St. Joseph,116,1,13,21,81,"2,107",603,"1,440",64,0
INDIANA,Metro,Sullivan,13,0,0,0,13,187,43,121,23,0
INDIANA,Metro,Tippecanoe,31,0,9,6,16,909,253,608,48,6
INDIANA,Metro,Tipton,9,0,2,1,6,71,24,42,5,0
INDIANA,Metro,Vanderburgh,,2,7,9,,790,124,631,35,4
INDIANA,Metro,Warrick,92,0,4,0,88,600,85,490,25,3
INDIANA,Metro,Wells,2,0,1,0,1,150,40,102,8,0
INDIANA,Non-Metro,Blackford,4,0,0,0,4,57,14,39,4,0
INDIANA,Non-Metro,Cass,10,0,2,0,8,216,34,177,5,0
INDIANA,Non-Metro,Clinton,11,0,1,3,7,360,76,264,20,0
INDIANA,Non-Metro,Daviess,7,0,0,1,6,103,35,55,13,3
INDIANA,Non-Metro,Fulton,16,0,4,1,11,94,38,50,6,3
INDIANA,Non-Metro,Grant,9,0,4,4,1,384,131,224,29,
INDIANA,Non-Metro,Henry,6,0,4,1,1,566,193,345,28,0
INDIANA,Non-Metro,Huntington,9,1,1,4,3,131,37,87,7,0
INDIANA,Non-Metro,Jackson,18,0,2,0,16,412,105,294,13,3
INDIANA,Non-Metro,Jay,4,0,0,0,4,104,24,72,8,0
INDIANA,Non-Metro,Jennings,21,0,4,1,16,310,137,154,19,0
INDIANA,Non-Metro,Knox,0,0,0,0,0,0,0,0,0,0
INDIANA,Non-Metro,Kosciusko,34,0,4,2,28,710,133,539,38,2
INDIANA,Non-Metro,LaGrange,6,0,0,4,2,202,47,134,21,0
INDIANA,Non-Metro,Lawrence,13,0,9,0,4,305,130,160,15,5
INDIANA,Non-Metro,Marshall,,0,5,0,,,110,,16,0
INDIANA,Non-Metro,Martin,0,0,0,0,0,70,15,48,7,0
INDIANA,Non-Metro,Montgomery,24,0,1,1,22,447,178,259,10,0
INDIANA,Non-Metro,Noble,16,0,3,0,13,168,78,82,8,1
INDIANA,Non-Metro,Parke,0,0,0,0,0,140,37,100,3,2
INDIANA,Non-Metro,Pulaski,46,0,3,0,43,179,43,123,13,4
INDIANA,Non-Metro,Randolph,1,1,0,0,0,272,92,167,13,2
INDIANA,Non-Metro,Ripley,9,0,1,0,8,229,64,157,8,1
INDIANA,Non-Metro,Rush,2,0,0,0,2,268,67,193,8,1
INDIANA,Non-Metro,Scott,12,0,0,0,12,137,54,76,7,1
INDIANA,Non-Metro,Starke,30,0,5,0,25,442,81,324,37,7
INDIANA,Non-Metro,Steuben,19,0,6,5,8,467,123,329,15,2
INDIANA,Non-Metro,Wayne,0,0,0,0,0,166,64,98,4,2
IOWA,Metro,Black Hawk,34,0,12,1,21,157,60,84,13,0
IOWA,Metro,Bremer,12,0,1,0,11,43,14,25,4,1
IOWA,Metro,Dallas,18,0,2,0,16,136,29,93,14,2
IOWA,Metro,Dubuque,63,0,3,0,60,209,86,103,20,4
IOWA,Metro,Grundy,3,0,0,0,3,83,25,57,1,1
IOWA,Metro,Harrison,6,0,0,1,5,98,35,56,7,0
IOWA,Metro,Johnson,52,1,7,0,44,218,75,125,18,2
IOWA,Metro,Jones,0,0,0,0,0,88,19,61,8,0
IOWA,Metro,Linn,23,0,7,0,16,364,167,167,30,4
IOWA,Metro,Mills,30,0,9,1,20,206,77,110,19,2
IOWA,Metro,Polk,104,0,9,9,86,668,215,380,73,3
IOWA,Metro,Pottawattamie,39,0,3,2,34,437,155,235,47,2
IOWA,Metro,Scott,24,0,0,0,24,128,33,86,9,1
IOWA,Metro,Story,17,0,5,0,12,177,67,98,12,1
IOWA,Metro,Warren,46,0,6,2,38,246,83,144,19,4
IOWA,Metro,Washington,34,0,13,0,21,85,21,59,5,0
IOWA,Metro,Woodbury,19,0,0,0,19,130,52,71,7,0
IOWA,Non-Metro,Adair,5,0,0,0,5,54,19,33,2,0
IOWA,Non-Metro,Adams,26,2,1,0,23,57,25,30,2,0
IOWA,Non-Metro,Appanoose,13,0,0,0,13,82,34,43,5,0
IOWA,Non-Metro,Boone,8,0,1,0,7,12,7,5,0,0
IOWA,Non-Metro,Buchanan,5,0,0,0,5,122,33,84,5,0
IOWA,Non-Metro,Buena Vista,7,0,0,0,7,63,21,39,3,4
IOWA,Non-Metro,Butler,6,0,1,0,5,5,3,2,0,0
IOWA,Non-Metro,Calhoun,6,0,1,0,5,74,14,53,7,0
IOWA,Non-Metro,Cass,15,0,1,0,14,69,24,41,4,1
IOWA,Non-Metro,Cedar,8,0,1,0,7,95,12,77,6,3
IOWA,Non-Metro,Cerro Gordo,6,0,0,0,6,152,53,93,6,1
IOWA,Non-Metro,Clarke,7,0,0,0,7,40,12,28,0,0
IOWA,Non-Metro,Clay,10,0,3,0,7,38,19,16,3,1
IOWA,Non-Metro,Clayton,7,0,1,0,6,54,13,37,4,0
IOWA,Non-Metro,Clinton,24,0,1,0,23,184,100,75,9,1
IOWA,Non-Metro,Davis,9,1,0,0,8,9,3,6,0,0
IOWA,Non-Metro,Delaware,15,0,2,0,13,24,14,9,1,0
IOWA,Non-Metro,Des Moines,14,0,1,0,13,101,32,63,6,1
IOWA,Non-Metro,Fayette,10,0,2,0,8,39,9,25,5,0
IOWA,Non-Metro,Floyd,1,0,0,0,1,23,7,13,3,0
IOWA,Non-Metro,Hamilton,14,0,0,0,14,72,37,33,2,0
IOWA,Non-Metro,Hancock,4,0,1,0,3,75,48,26,1,0
IOWA,Non-Metro,Hardin,10,0,0,0,10,97,39,48,10,2
IOWA,Non-Metro,Henry,17,0,0,1,16,85,31,47,7,4
IOWA,Non-Metro,Howard,6,0,2,0,4,66,24,41,1,1
IOWA,Non-Metro,Humboldt,0,0,0,0,0,35,21,11,3,0
IOWA,Non-Metro,Ida,2,0,0,0,2,55,13,42,0,0
IOWA,Non-Metro,Iowa,15,1,3,0,11,93,20,59,14,0
IOWA,Non-Metro,Jasper,37,0,2,0,35,151,72,62,17,0
IOWA,Non-Metro,Jefferson,4,0,0,1,3,66,19,40,7,2
IOWA,Non-Metro,Kossuth,8,0,1,0,7,69,41,27,1,0
IOWA,Non-Metro,Lee,27,1,0,0,26,106,43,40,23,1
IOWA,Non-Metro,Louisa,10,0,0,0,10,74,25,44,5,1
IOWA,Non-Metro,Lucas,6,1,2,1,2,59,19,35,5,4
IOWA,Non-Metro,Lyon,20,2,2,1,15,56,13,36,7,0
IOWA,Non-Metro,Mahaska,21,0,0,0,21,83,40,39,4,0
IOWA,Non-Metro,Marion,28,0,9,0,19,125,58,56,11,1
IOWA,Non-Metro,Marshall,15,0,1,0,14,117,59,55,3,2
IOWA,Non-Metro,Mitchell,3,0,0,0,3,12,7,4,1,0
IOWA,Non-Metro,Monroe,4,0,0,0,4,22,8,14,0,0
IOWA,Non-Metro,Muscatine,17,0,3,0,14,110,45,53,12,0
IOWA,Non-Metro,O'Brien,5,0,0,0,5,45,19,24,2,0
IOWA,Non-Metro,Osceola,1,0,0,0,1,15,4,6,5,0
IOWA,Non-Metro,Page,3,0,0,0,3,56,9,45,2,1
IOWA,Non-Metro,Palo Alto,11,0,0,0,11,48,19,27,2,1
IOWA,Non-Metro,Plymouth,10,0,0,0,10,47,15,27,5,0
IOWA,Non-Metro,Pocahontas,6,0,0,0,6,39,15,21,3,2
IOWA,Non-Metro,Poweshiek,4,0,1,0,3,110,40,61,9,2
IOWA,Non-Metro,Sioux,18,0,1,0,17,77,37,35,5,1
IOWA,Non-Metro,Tama,36,0,1,0,35,140,74,57,9,1
IOWA,Non-Metro,Taylor,1,0,0,0,1,35,14,18,3,0
IOWA,Non-Metro,Union,3,0,0,0,3,32,11,14,7,1
IOWA,Non-Metro,Wapello,15,0,0,0,15,105,43,53,9,0
IOWA,Non-Metro,Wayne,4,0,0,0,4,31,13,17,1,1
IOWA,Non-Metro,Webster,35,0,1,1,33,221,93,110,18,1
IOWA,Non-Metro,Winneshiek,0,0,0,0,0,25,6,19,0,0
IOWA,Non-Metro,Worth,2,0,0,0,2,108,32,71,5,0
IOWA,Non-Metro,Wright,4,1,0,0,3,32,13,19,0,0
KANSAS,Metro,Butler,35,1,4,0,30,451,151,271,29,9
KANSAS,Metro,Doniphan,5,0,1,0,4,54,19,34,1,0
KANSAS,Metro,Douglas,25,0,3,1,21,233,67,159,7,4
KANSAS,Metro,Franklin,35,0,6,0,29,212,103,97,12,9
KANSAS,Metro,Geary,6,0,1,0,5,32,8,23,1,1
KANSAS,Metro,Harvey,9,0,0,2,7,102,31,63,8,0
KANSAS,Metro,Jackson,22,0,2,1,19,128,46,71,11,2
KANSAS,Metro,Jefferson,27,0,1,0,26,424,101,290,33,8
KANSAS,Metro,Johnson,40,0,6,2,32,294,68,204,22,5
KANSAS,Metro,Leavenworth,62,0,3,2,57,353,149,171,33,11
KANSAS,Metro,Miami,18,0,0,1,17,237,103,119,15,11
KANSAS,Metro,Osage,12,0,1,0,11,85,29,46,10,2
KANSAS,Metro,Pottawatomie,35,0,0,2,33,251,93,144,14,4
KANSAS,Metro,Riley,187,2,29,16,140,"1,400",244,"1,139",17,18
KANSAS,Metro,Sedgwick,150,0,10,5,135,792,246,486,60,9
KANSAS,Metro,Shawnee,71,0,5,6,60,"1,163",302,802,59,17
KANSAS,Metro,Sumner,9,0,1,1,7,127,42,78,7,0
KANSAS,Metro,Wabaunsee,16,0,0,1,15,77,26,44,7,2
KANSAS,Metro,Wyandotte,4,0,0,1,3,11,4,7,0,2
KANSAS,Non-Metro,Allen,18,1,3,0,14,79,31,43,5,6
KANSAS,Non-Metro,Anderson,8,0,2,1,5,68,32,29,7,0
KANSAS,Non-Metro,Atchison,4,0,1,0,3,14,11,1,2,0
KANSAS,Non-Metro,Barber,3,0,0,0,3,16,3,13,0,0
KANSAS,Non-Metro,Barton,31,0,5,0,26,134,47,77,10,0
KANSAS,Non-Metro,Bourbon,11,0,2,0,9,100,56,39,5,8
KANSAS,Non-Metro,Brown,10,0,3,0,7,49,15,31,3,0
KANSAS,Non-Metro,Chautauqua,2,0,0,0,2,11,6,5,0,1
KANSAS,Non-Metro,Cherokee,33,0,0,0,33,206,91,101,14,17
KANSAS,Non-Metro,Cheyenne,2,0,0,0,2,19,5,9,5,0
KANSAS,Non-Metro,Clark,2,0,0,0,2,25,4,20,1,0
KANSAS,Non-Metro,Clay,4,0,1,0,3,27,11,12,4,2
KANSAS,Non-Metro,Cloud,9,1,2,0,6,56,17,35,4,0
KANSAS,Non-Metro,Coffey,8,0,4,0,4,44,13,25,6,0
KANSAS,Non-Metro,Cowley,34,0,2,1,31,169,67,95,7,0
KANSAS,Non-Metro,Crawford,18,1,1,2,14,253,79,158,16,21
KANSAS,Non-Metro,Dickinson,13,1,2,0,10,125,56,59,10,4
KANSAS,Non-Metro,Edwards,1,0,0,0,1,29,8,18,3,1
KANSAS,Non-Metro,Ellis,14,0,2,1,11,78,22,53,3,2
KANSAS,Non-Metro,Ellsworth,4,0,0,0,4,45,13,27,5,1
KANSAS,Non-Metro,Finney,23,0,5,0,18,255,74,170,11,2
KANSAS,Non-Metro,Ford,27,1,6,3,17,123,25,87,11,1
KANSAS,Non-Metro,Graham,0,0,0,0,0,30,9,20,1,0
KANSAS,Non-Metro,Grant,2,0,0,0,2,23,8,13,2,0
