State,Type,County,Violent crime,Property crime
CALIFORNIA,Metro,Santa Cruz,301,"2,232"
CALIFORNIA,Metro,Shasta,582,"1,058"
CALIFORNIA,Metro,Sonoma,587,"1,388"
CALIFORNIA,Metro,Stanislaus,414,"3,002"
CALIFORNIA,Metro,Sutter,143,661
CALIFORNIA,Metro,Tulare,521,
CALIFORNIA,Metro,Ventura,192,"1,323"
CALIFORNIA,Metro,Yolo,62,364
CALIFORNIA,Metro,Yuba,159,"1,031"
CALIFORNIA,Non-Metro,Alpine,10,73
CALIFORNIA,Non-Metro,Amador,60,485
CALIFORNIA,Non-Metro,Calaveras,82,654
CALIFORNIA,Non-Metro,Colusa,22,257
CALIFORNIA,Non-Metro,Del Norte,82,377
CALIFORNIA,Non-Metro,Glenn,16,180
CALIFORNIA,Non-Metro,Humboldt,242,"1,208"
CALIFORNIA,Non-Metro,Inyo,47,139
CALIFORNIA,Non-Metro,Lake,199,895
CALIFORNIA,Non-Metro,Lassen,36,129
CALIFORNIA,Non-Metro,Mariposa,37,294
CALIFORNIA,Non-Metro,Mendocino,310,551
CALIFORNIA,Non-Metro,Modoc,12,60
CALIFORNIA,Non-Metro,Mono,13,71
CALIFORNIA,Non-Metro,Nevada,137,578
CALIFORNIA,Non-Metro,Plumas,109,326
CALIFORNIA,Non-Metro,Sierra,19,44
CALIFORNIA,Non-Metro,Siskiyou,37,232
CALIFORNIA,Non-Metro,Tehama,181,278
CALIFORNIA,Non-Metro,Trinity,34,98
CALIFORNIA,Non-Metro,Tuolumne,97,757
COLORADO,Metro,Adams,477,"2,450"
COLORADO,Metro,Arapahoe,204,"1,403"
COLORADO,Metro,Boulder,56,549
COLORADO,Metro,Clear Creek,21,80
COLORADO,Metro,Douglas,269,"1,882"
COLORADO,Metro,Gilpin,12,23
COLORADO,Metro,Jefferson,183,"2,572"
COLORADO,Metro,Larimer,134,927
COLORADO,Metro,Mesa,163,"1,243"
COLORADO,Metro,Park,20,129
COLORADO,Metro,Pueblo,31,"1,604"
COLORADO,Metro,Teller,9,81
COLORADO,Metro,Weld,120,834
COLORADO,Non-Metro,Alamosa,1,18
COLORADO,Non-Metro,Baca,0,3
COLORADO,Non-Metro,Bent,2,36
COLORADO,Non-Metro,Chaffee,11,67
COLORADO,Non-Metro,Cheyenne,0,3
COLORADO,Non-Metro,Crowley,4,0
COLORADO,Non-Metro,Delta,19,164
COLORADO,Non-Metro,Dolores,0,28
COLORADO,Non-Metro,Eagle,44,433
COLORADO,Non-Metro,Fremont,,71
COLORADO,Non-Metro,Grand,12,130
COLORADO,Non-Metro,Gunnison,10,18
COLORADO,Non-Metro,Kit Carson,2,29
COLORADO,Non-Metro,Lake,2,20
COLORADO,Non-Metro,Las Animas,0,0
COLORADO,Non-Metro,Lincoln,2,2
COLORADO,Non-Metro,Logan,10,65
COLORADO,Non-Metro,Moffat,4,44
COLORADO,Non-Metro,Montezuma,42,120
COLORADO,Non-Metro,Montrose,21,157
COLORADO,Non-Metro,Morgan,2,52
COLORADO,Non-Metro,Otero,6,40
COLORADO,Non-Metro,Pitkin,7,56
COLORADO,Non-Metro,Prowers,5,29
COLORADO,Non-Metro,Rio Blanco,0,7
COLORADO,Non-Metro,Routt,11,49
COLORADO,Non-Metro,Saguache,12,26
COLORADO,Non-Metro,San Miguel,3,19
COLORADO,Non-Metro,Summit,12,289
COLORADO,Non-Metro,Washington,5,79
DELAWARE,Metro,New Castle,"1,251","6,625"
FLORIDA,Metro,Alachua,596,"2,788"
FLORIDA,Metro,Baker,58,336
FLORIDA,Metro,Bay,358,"2,816"
FLORIDA,Metro,Brevard,926,"5,348"
FLORIDA,Metro,Broward,292,956
FLORIDA,Metro,Charlotte,353,"3,822"
FLORIDA,Metro,Clay,710,"3,918"
FLORIDA,Metro,Collier,977,"4,947"
FLORIDA,Metro,Escambia,"1,928","10,455"
FLORIDA,Metro,Flagler,173,"1,952"
FLORIDA,Metro,Gadsden,294,742
FLORIDA,Metro,Gilchrist,40,134
FLORIDA,Metro,Hernando,592,"4,479"
FLORIDA,Metro,Hillsborough,"3,136","22,442"
FLORIDA,Metro,Indian River,313,"2,953"
FLORIDA,Metro,Jefferson,126,171
FLORIDA,Metro,Lake,595,"2,813"
FLORIDA,Metro,Lee,"1,347","9,358"
FLORIDA,Metro,Leon,273,"1,363"
FLORIDA,Metro,Manatee,"1,533","9,838"
FLORIDA,Metro,Marion,"1,305","4,860"
FLORIDA,Metro,Martin,362,"2,787"
FLORIDA,Metro,Miami-Dade,"6,927","45,341"
FLORIDA,Metro,Nassau,163,"1,137"
FLORIDA,Metro,Okaloosa,454,"3,365"
FLORIDA,Metro,Orange,"5,396","27,117"
FLORIDA,Metro,Osceola,885,"5,814"
FLORIDA,Metro,Palm Beach,"2,232","16,314"
FLORIDA,Metro,Pasco,"1,292","12,773"
FLORIDA,Metro,Pinellas,"1,119","7,609"
FLORIDA,Metro,Polk,"1,308","10,070"
FLORIDA,Metro,Santa Rosa,222,"1,598"
FLORIDA,Metro,Sarasota,697,"7,714"
FLORIDA,Metro,Seminole,585,"3,361"
FLORIDA,Metro,St. Johns,494,"3,603"
FLORIDA,Metro,St. Lucie,257,"1,743"
FLORIDA,Metro,Volusia,931,"5,335"
FLORIDA,Metro,Wakulla,86,679
FLORIDA,Non-Metro,Bradford,62,344
FLORIDA,Non-Metro,Calhoun,12,68
FLORIDA,Non-Metro,Citrus,452,"3,203"
FLORIDA,Non-Metro,Columbia,186,"1,275"
FLORIDA,Non-Metro,DeSoto,172,811
FLORIDA,Non-Metro,Dixie,69,524
FLORIDA,Non-Metro,Franklin,96,145
FLORIDA,Non-Metro,Glades,39,245
FLORIDA,Non-Metro,Gulf,34,125
FLORIDA,Non-Metro,Hamilton,52,211
FLORIDA,Non-Metro,Hardee,57,527
FLORIDA,Non-Metro,Hendry,212,"1,130"
FLORIDA,Non-Metro,Highlands,149,"1,736"
FLORIDA,Non-Metro,Holmes,56,203
FLORIDA,Non-Metro,Jackson,204,771
FLORIDA,Non-Metro,Lafayette,20,39
FLORIDA,Non-Metro,Levy,123,922
FLORIDA,Non-Metro,Liberty,16,56
FLORIDA,Non-Metro,Madison,123,306
FLORIDA,Non-Metro,Monroe,152,"2,037"
FLORIDA,Non-Metro,Okeechobee,193,976
FLORIDA,Non-Metro,Putnam,537,"2,653"
FLORIDA,Non-Metro,Sumter,144,654
FLORIDA,Non-Metro,Suwannee,118,553
FLORIDA,Non-Metro,Taylor,50,167
FLORIDA,Non-Metro,Union,55,142
FLORIDA,Non-Metro,Walton,158,"1,145"
FLORIDA,Non-Metro,Washington,9,241
GEORGIA,Metro,Augusta-Richmond,"1,084","14,303"
GEORGIA,Metro,Barrow,214,"1,170"
GEORGIA,Metro,Bartow,224,"2,470"
GEORGIA,Metro,Bibb,231,"2,520"
GEORGIA,Metro,Brantley,32,284
GEORGIA,Metro,Brooks,43,302
GEORGIA,Metro,Bryan,17,353
GEORGIA,Metro,Burke,156,682
GEORGIA,Metro,Butts,36,550
GEORGIA,Metro,Carroll,362,"1,457"
GEORGIA,Metro,Catoosa,71,"1,047"
GEORGIA,Metro,Chatham,0,0
GEORGIA,Metro,Cherokee,133,"2,010"
GEORGIA,Metro,Clarke,0,1
GEORGIA,Metro,Clayton,0,0
GEORGIA,Metro,Clayton,"1,031","9,418"
GEORGIA,Metro,Cobb,1,0
GEORGIA,Metro,Columbia,72,"2,323"
GEORGIA,Metro,Coweta,91,"1,436"
GEORGIA,Metro,Crawford,33,459
GEORGIA,Metro,Dade,37,200
GEORGIA,Metro,Dawson,18,478
GEORGIA,Metro,DeKalb,0,0
GEORGIA,Metro,DeKalb,"3,469","29,924"
GEORGIA,Metro,Douglas,153,"2,108"
GEORGIA,Metro,Echols,8,45
GEORGIA,Metro,Effingham,57,297
GEORGIA,Metro,Fayette,31,555
GEORGIA,Metro,Floyd,34,24
GEORGIA,Metro,Floyd,180,"1,315"
