RegionID,RegionName,State,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10
3101,Los Angeles,CA,1,5,4.747578981,4.666666667,5.000000000000,4.999158863,4.980996199,4.766444233,4.615384615,4.366812227,4.52173913,4.286326618,4.288837244,4.316546763,4.348771472,4.424778761,4.766444233,4.411764706,4.491777639,4.368188722,4.255771939,4.092994162,4.008016032,4.000556687,4,3.933054393,4.006677796,3.771631874,3.851091142,3.848374204,3.853564547,4.050632911,4.007346914,4,3.761419678,3.680154143,3.372682347,3.437782523,3.442622951,3.409865879,3.505843072,3.258064516,3.250784296,3.258064516,3.246753247,3.099974374,3.1284224,3.151515152,2.990869797,3.076923077,3.151515152,3.20754717,3.209876543,3.206587372,3.077164533,3.103997132,3.338898164,3.269936967,3.298969072,3.231017771,3.157898061,3.174603175,3.225806452
139,Cook,IL,2,5,4.841402337,5.002501251,5.291005291005,5.742634478,5.376344086,5.032955671,4.80952381,4.699291272,4.761904762,4.828622763,4.8,4.857142857,5,5.265929437,5.714285714,5.277044855,5.063291139,4.768527905,4.762811964,4.784688995,4.656512816,4.766444233,4.935530762,4.929577465,4.973324894,5.137226497,5.885815185,5.063291139,5.002501251,4.848484848,4.522613065,4.426737494,4.328828829,4.372779448,4.159292035,4.137931034,4.168403501,4.678362573,6.005066038,5.290701035,5.061407474,4.547811157,4.003202562,3.767368043,3.623450994,3.762311548,3.822649004,3.757045931,3.912309815,4.175365344,4.985437275,4.668081237,4.446420631,3.847633705,3.616071429,3.496503497,3.443708609,3.513513514,3.449465333,3.571428571,3.449465333
1090,Harris,TX,3,4.243453208,4.166808903,4.167187594,4.473684210526,4.351610096,4.366812227,4.102564103,4.003202562,3.856356256,3.765690377,3.625815809,3.849114704,3.923107101,4,4.00160064,4.351610096,4.12420579,4.020003847,3.787392539,3.703703704,3.693980467,3.586206897,3.571428571,3.636363636,3.706449222,3.766527197,3.831775701,3.808386299,3.706449222,3.343465046,3.333333333,3.226535054,3.360831456,3.227888961,3.338898164,3.338898164,3.424657534,3.26851668,3.343973325,3.571428571,3.518329428,3.295804343,3.302565946,3.191942285,3.139013453,3.125,3.126954346,3.125,3.125,3.25203252,2.941176471,3.271895985,3.335557038,3.121636168,3.031681137,3.247399124,3.046875465,3.151633062,2.98554257,3.076674556,3.090533777,3.009708738
2402,Maricopa,AZ,4,5.268703899,5.01002004,5.01002004,5.489691647540,5.268703899,5.163976079,5.185185185,4.979674797,4.886769964,4.80952381,4.761904762,4.502046385,4.193920739,4.166753476,4.110715264,4.188951271,4.125782611,3.837157913,3.545747582,3.572704537,3.277258587,3.076923077,3.059701493,3.093750302,3.076923077,3.043478261,2.942474685,3.151167915,3.115175765,2.947574194,2.978668882,2.857959417,2.645502646,2.534818942,2.487804878,2.38142489,2.406169164,2.439619419,2.422907489,2.36503856,2.502606991,2.444987775,2.364066194,2.300469718,2.234636872,2.174858634,2.147100575,2.033898305,2.105263158,2.128565347,2.222612419,2.222553191,2.307692308,2.291259547,2.178649237,2.083333333,2.033898305,2.00080032,1.968503937,1.960784314,1.967782551,2.033898305
2841,San Diego,CA,5,4.584660297,4.259850905,4.301075269,4.555808656036,4.371584699,4.349717268,4.183006536,4.025717234,3.8647343,4,3.880057544,3.77717608,3.885480573,3.937959891,3.974449965,3.952509355,4.00160064,3.797468354,3.846153846,3.704732828,3.514938489,3.395595526,3.454231434,3.397424215,3.451846738,3.406779661,3.194888179,3.620992269,3.333333333,3.506454991,3.339778752,3.243765075,3.279147018,3.232323232,3.129890454,3.036565978,2.857142857,2.918694947,2.857142857,2.894779843,2.778549597,2.914285714,2.865329513,2.827495727,2.818707114,2.840059791,2.816901408,2.670226969,2.666666667,2.726801277,2.805555556,2.733874785,2.888102932,2.857142857,2.70993673,3.032140691,3.030670384,2.961918195,2.929756442,2.850372376,2.793143143,2.78551532
1286,Orange,CA,6,4.167094967,3.725140775,3.703703704,4.166666666667,3.871829105,3.804111208,3.846733322,3.760557964,3.694355257,3.703703704,3.773584906,3.703703704,3.704389702,3.703703704,3.738502239,4.016,3.795285901,3.666666667,3.658536585,3.50877193,3.388463641,3.320442726,3.395585739,3.333333333,3.075894694,3.0771598,3.177830638,3.342366757,3.227888961,3.50877193,3.4581502,3.328135642,3.387133439,3.134796238,2.898970926,2.783606099,2.741020794,2.770642202,2.570694087,2.597739966,2.70343336,2.673434653,2.564760195,2.650685046,2.55892894,2.545454545,2.567394095,2.500625156,2.523558836,2.46659815,2.513362113,2.567398326,2.508358417,2.5,2.633451049,2.654867257,2.53164557,2.544448465,2.439321869,2.383790226,2.465753425,2.446311256
581,Kings,NY,7,4.769475358,4.347826087,4.873015873,4.347863894469,5.006265664,5.263157895,4.784688995,4.163333333,4.557316093,4.935466078,5.00000625,5,4.771372524,5.210926135,4.44346116,4.55472462,5.025125628,4.77326969,4.459314349,4.766444233,4.175365344,4.364441587,3.856041131,4.491155437,4.369198463,4.545454545,4.705882353,4.811699336,4.841402337,4.559270517,5.141388175,4.357298475,4.508060576,4.82509047,4.797154117,4.769475358,4.446916327,4.408809581,4.388617377,5.002501251,4.779364049,4.519918284,4.148230088,4.347826087,4.270127197,4.411764706,4.167100785,4.184208417,4.444444444,4.491481673,4.444444444,4.004004,4.623115578,4.347826087,3.760191872,4.357298475,4.449393714,4.016064257,3.729198535,4.430576458,4.77326969,4.22074617
2964,Miami-Dade,FL,8,7.441168328,7.024320458,6.8,6.951158707104,6.869718006,6.783625731,6.603773585,6.195372751,6.339160137,6.315789474,6.565656566,6.103286385,6.2625,6.250558135,5.882352941,5.849056604,5.797101449,5.769592406,5.882352941,5.561735261,5.263157895,5.508847353,5.660377358,5.298245614,5.263157895,5.361226049,5.079365079,5.710916442,5.056179775,5.561735261,4.918563319,5.102040816,5.008347245,4.769230769,5.198361782,5.111678832,4.809571524,4.8,5,5.201936303,5.096474954,4.72187315,4.446667792,4.545454545,4.415011038,4.454342984,4.264392324,4.429780685,4.226497195,4.168403501,3.928571429,4.168403501,4.011461318,3.773584906,3.849114704,4,3.873466753,3.846153846,3.889502762,3.718518519,3.702426564,3.703703704
978,Dallas,TX,9,4.456470855,4.416923283,4.351610096,4.766444232602,4.616805171,4.444444444,4.255319149,4.077037037,4,3.861003861,3.846634615,4.000133342,3.976721629,4.049607954,4.166666667,4.701743915,4.169562196,4.005827852,4,3.873239437,3.573342976,3.450655625,3.551912568,3.660770124,3.544333418,3.706449222,3.573981415,3.77213241,3.92384674,3.505843072,3.268409877,3.236245955,3.345600535,3.333889074,3.236245955,3.22684737,3.326888459,3.333333333,3.256783199,3.62223834,3.482758621,3.350558426,3.290351267,3.225806452,3.090909091,3.227888961,3.156234435,3.125097659,3.178947368,3.190491398,3.333333333,3.423687424,3.372071698,3.573342976,3.333333333,3.462068966,3.344481605,3.334444815,3.22719453,3.351888988,3.225806452,3.228149484
1347,Queens,NY,10,4.125336316,4.17625196,4.264392324,4.375186935455,4.423287556,4.776119403,4.92845787,4.552352049,4.357298475,4.767012343,5.028212291,4.615398817,4.597768644,4.466349329,4.80952381,5.214490941,4.970141036,5.079527963,4.264392324,4.008016032,3.90625,4.081632653,3.865985801,4.084185801,4.00160064,4.170141785,4.137931034,4.202868151,4.441543371,4.235579552,4.008016032,4.012040145,4.082465809,3.861003861,3.79403794,3.966597077,3.789743644,3.597122302,4.008016032,3.686150606,3.766317992,3.83665717,3.585218144,3.705076463,3.757045931,3.902985724,3.448275862,4.016064257,3.64298725,3.705075954,3.606630824,3.623188406,3.50877193,3.636363636,3.263403263,4.013762788,4.007346914,3.521871172,3.735363714,3.50877193,3.555213113,3.656401882
