County,State,Value
Garden County,Nebraska,-10.30
Walsh County,North Dakota,-10.30
Martinsville city,Virginia,-10.30
Lincoln County,Colorado,-10.20
Sac County,Iowa,-10.20
Pawnee County,Nebraska,-10.20
Duval County,Texas,-10.20
Red River County,Texas,-10.20
Adams County,Iowa,-10.10
Iron County,Michigan,-10.10
Faribault County,Minnesota,-10.10
Hamilton County,New York,-10.10
Bottineau County,North Dakota,-10.10
Hardin County,Illinois,-10.00
Ness County,Kansas,-10.00
Lac qui Parle County,Minnesota,-10.00
Greene County,Iowa,-9.90
McHenry County,North Dakota,-9.90
Morehouse Parish,Louisiana,-9.80
Franklin County,Nebraska,-9.80
Jerauld County,South Dakota,-9.80
Ashley County,Arkansas,-9.70
Holt County,Nebraska,-9.70
De Baca County,New Mexico,-9.70
Sierra County,New Mexico,-9.70
Irion County,Texas,-9.70
Lynn County,Texas,-9.70
Nevada County,Arkansas,-9.60
Trego County,Kansas,-9.60
Carroll County,Missouri,-9.60
Harlan County,Nebraska,-9.60
Adams County,North Dakota,-9.60
Ida County,Iowa,-9.50
Logan County,Kansas,-9.50
Big Stone County,Minnesota,-9.50
Hayes County,Nebraska,-9.50
Kossuth County,Iowa,-9.40
Kingman County,Kansas,-9.40
Lincoln County,Kansas,-9.40
Winn Parish,Louisiana,-9.40
Jefferson County,Nebraska,-9.40
Brooks County,Texas,-9.40
Greene County,Alabama,-9.30
Ouachita County,Arkansas,-9.30
Divide County,North Dakota,-9.30
Richland County,North Dakota,-9.30
Crockett County,Texas,-9.30
Taylor County,Iowa,-9.20
Finney County,Kansas,-9.20
Blackford County,Indiana,-9.10
Sheridan County,Kansas,-9.10
Hutchinson County,South Dakota,-9.10
Clay County,West Virginia,-9.10
Elk County,Pennsylvania,-9.00
Walworth County,South Dakota,-9.00
Baylor County,Texas,-9.00
Terrell County,Texas,-9.00
Sierra County,California,-8.90
Rooks County,Kansas,-8.90
Wilson County,Kansas,-8.90
Bienville Parish,Louisiana,-8.90
Jackson County,Minnesota,-8.90
Worth County,Missouri,-8.90
Day County,South Dakota,-8.90
Montgomery County,Iowa,-8.80
Leslie County,Kentucky,-8.80
Hettinger County,North Dakota,-8.80
Bradley County,Arkansas,-8.70
Clay County,Arkansas,-8.70
Union County,Arkansas,-8.70
Pemiscot County,Missouri,-8.70
Sherman County,Oregon,-8.70
Prairie County,Arkansas,-8.60
Mason County,Illinois,-8.60
Runnels County,Texas,-8.60
Cross County,Arkansas,-8.50
Briscoe County,Texas,-8.50
Fisher County,Texas,-8.50
Highland County,Virginia,-8.50
