County,State,Value
Delta County,Michigan,-1451.00
Evangeline Parish,Louisiana,-1450.00
Calhoun County,Iowa,-1445.00
Manitowoc County,Wisconsin,-1445.00
Sanilac County,Michigan,-1433.00
Hale County,Alabama,-1425.00
Renville County,Minnesota,-1424.00
Mingo County,West Virginia,-1414.00
Russell County,Virginia,-1411.00
Bienville Parish,Louisiana,-1399.00
Brooke County,West Virginia,-1378.00
Mason County,Illinois,-1372.00
Arenac County,Michigan,-1370.00
Bell County,Kentucky,-1369.00
Tensas Parish,Louisiana,-1366.00
Grenada County,Mississippi,-1357.00
Alexander County,Illinois,-1352.00
Pocahontas County,Iowa,-1352.00
Early County,Georgia,-1346.00
Ottawa County,Oklahoma,-1346.00
Clay County,Mississippi,-1345.00
Lamar County,Alabama,-1340.00
Duval County,Texas,-1338.00
Freeborn County,Minnesota,-1329.00
Floyd County,Texas,-1325.00
Iron County,Michigan,-1321.00
Petersburg city,Virginia,-1320.00
Fayette County,Indiana,-1311.00
Dickinson County,Michigan,-1304.00
Knott County,Kentucky,-1303.00
Pecos County,Texas,-1302.00
Menominee County,Michigan,-1297.00
Tillman County,Oklahoma,-1295.00
Orleans County,New York,-1288.00
Carroll County,Illinois,-1287.00
Blackford County,Indiana,-1282.00
Sierra County,New Mexico,-1282.00
Hardin County,Iowa,-1278.00
Perry County,Alabama,-1270.00
Walsh County,North Dakota,-1270.00
Wyoming County,New York,-1269.00
Stephenson County,Illinois,-1268.00
Montgomery County,Mississippi,-1264.00
Monroe County,Alabama,-1256.00
Matagorda County,Texas,-1255.00
Fayette County,Alabama,-1254.00
Macoupin County,Illinois,-1254.00
McCurtain County,Oklahoma,-1251.00
Scott County,Missouri,-1231.00
Ashtabula County,Ohio,-1231.00
Randolph County,Indiana,-1230.00
Labette County,Kansas,-1228.00
Clarke County,Mississippi,-1223.00
Jefferson County,Illinois,-1218.00
Choctaw County,Mississippi,-1211.00
Pickens County,Alabama,-1203.00
Dunklin County,Missouri,-1202.00
St. Clair County,Michigan,-1195.00
Pulaski County,Illinois,-1187.00
Fulton County,Illinois,-1181.00
Sac County,Iowa,-1179.00
Adams County,Illinois,-1174.00
Pembina County,North Dakota,-1172.00
Richardson County,Nebraska,-1168.00
Dawson County,Texas,-1152.00
Huerfano County,Colorado,-1151.00
Posey County,Indiana,-1151.00
Wilbarger County,Texas,-1141.00
Edgar County,Illinois,-1128.00
Fayette County,Iowa,-1128.00
St. Joseph County,Michigan,-1127.00
Summit County,Ohio,-1118.00
Holt County,Nebraska,-1116.00
Quay County,New Mexico,-1114.00
Halifax County,Virginia,-1114.00
Wetzel County,West Virginia,-1110.00
Wright County,Iowa,-1105.00
Delaware County,Indiana,-1098.00
Dallas County,Arkansas,-1094.00
East Feliciana Parish,Louisiana,-1093.00
Bradley County,Arkansas,-1092.00
Leslie County,Kentucky,-1091.00
Martin County,North Carolina,-1088.00
Jasper County,Mississippi,-1087.00
Washington County,Maine,-1085.00
Monroe County,West Virginia,-1081.00
St. Francis County,Arkansas,-1071.00
Morgan County,Illinois,-1069.00
Cuming County,Nebraska,-1064.00
Columbia County,Arkansas,-1051.00
Page County,Iowa,-1044.00
Koochiching County,Minnesota,-1044.00
Shiawassee County,Michigan,-1039.00
Spink County,South Dakota,-1039.00
Ontonagon County,Michigan,-1038.00
Hidalgo County,New Mexico,-1038.00
Sumter County,Alabama,-1035.00
