County,State,Value
St. Charles Parish,Louisiana,93.30
St. James Parish,Louisiana,91.30
Union Parish,Louisiana,80.60
Clinton County,Iowa,93.10
Crawford County,Iowa,92.40
Delaware County,Iowa,88.00
Emmet County,Iowa,89.00
Floyd County,Iowa,91.50
Hamilton County,Iowa,90.60
Henry County,Iowa,92.60
Iowa County,Iowa,92.00
Jones County,Iowa,91.80
Linn County,Iowa,93.40
Madison County,Iowa,91.90
Marion County,Iowa,91.40
Montgomery County,Iowa,87.00
O'Brien County,Iowa,91.30
Pocahontas County,Iowa,85.20
Sac County,Iowa,82.60
Story County,Iowa,94.40
Union County,Iowa,88.80
Warren County,Iowa,94.00
Worth County,Iowa,89.40
Atchison County,Kansas,89.30
Butler County,Kansas,92.10
Hillsdale County,Michigan,81.80
Ionia County,Michigan,89.40
Isabella County,Michigan,90.20
Kalamazoo County,Michigan,91.50
Kent County,Michigan,92.00
Livingston County,Michigan,92.50
Mackinac County,Michigan,45.60
Marquette County,Michigan,80.20
Midland County,Michigan,93.00
Missaukee County,Michigan,64.10
Newaygo County,Michigan,73.40
Osceola County,Michigan,67.60
Roscommon County,Michigan,46.70
Shiawassee County,Michigan,90.60
Washtenaw County,Michigan,93.00
Wexford County,Michigan,77.80
Benton County,Minnesota,93.40
Cottonwood County,Minnesota,89.70
Dodge County,Minnesota,93.90
Douglas County,Minnesota,76.80
Grant County,Minnesota,78.20
Hubbard County,Minnesota,59.20
Kandiyohi County,Minnesota,85.90
Lac qui Parle County,Minnesota,85.50
Le Sueur County,Minnesota,86.60
Lyon County,Minnesota,92.20
Meeker County,Minnesota,86.00
Murray County,Minnesota,81.60
Otter Tail County,Minnesota,67.60
Pope County,Minnesota,73.60
Renville County,Minnesota,89.20
Sherburne County,Minnesota,93.30
Steele County,Minnesota,93.40
Wadena County,Minnesota,82.70
Watonwan County,Minnesota,89.60
Alcorn County,Mississippi,88.10
Benton County,Mississippi,81.30
Choctaw County,Mississippi,83.00
Covington County,Mississippi,87.50
Greene County,Mississippi,84.10
Itawamba County,Mississippi,87.70
Jefferson Davis County,Mississippi,84.70
Kemper County,Mississippi,83.00
Webster Parish,Louisiana,85.50
West Baton Rouge Parish,Louisiana,93.20
Hancock County,Maine,60.30
Piscataquis County,Maine,51.00
Washington County,Maine,62.20
Calvert County,Maryland,91.40
Carroll County,Maryland,95.80
Charles County,Maryland,93.20
Howard County,Maryland,95.90
Kent County,Maryland,77.40
St. Mary's County,Maryland,91.10
Somerset County,Maryland,79.00
Barnstable County,Massachusetts,59.70
Franklin County,Massachusetts,90.20
Antrim County,Michigan,55.50
Branch County,Michigan,78.80
Clare County,Michigan,55.80
Crawford County,Michigan,54.20
Eaton County,Michigan,92.40
Gladwin County,Michigan,60.80
Iron County,Missouri,82.20
Jasper County,Missouri,90.10
Knox County,Missouri,74.60
Linn County,Missouri,82.40
Madison County,Missouri,82.00
Marion County,Missouri,88.70
Moniteau County,Missouri,89.60
Morgan County,Missouri,54.50
Perry County,Missouri,85.90
Pulaski County,Missouri,89.40
St. Clair County,Missouri,73.80
Saline County,Missouri,87.80
Sullivan County,Missouri,81.60
Washington County,Missouri,84.90
Webster County,Missouri,90.60
Cascade County,Montana,90.70
Golden Valley County,Montana,76.30
Lake County,Montana,68.90
Madison County,Montana,51.30
Pondera County,Montana,85.90
Silver Bow County,Montana,89.30
Treasure County,Montana,79.40
Wheatland County,Montana,74.10
Adams County,Nebraska,93.40
Blaine County,Nebraska,60.10
Butler County,Nebraska,83.70
Clay County,Nebraska,88.30
Colfax County,Nebraska,88.30
Dawson County,Nebraska,87.90
Fillmore County,Nebraska,85.20
Frontier County,Nebraska,74.20
Grant County,Nebraska,70.80
Hall County,Nebraska,94.30
Johnson County,Nebraska,84.30
Kearney County,Nebraska,92.90
Logan County,Nebraska,82.30
McPherson County,Nebraska,74.60
Nance County,Nebraska,84.70
Pawnee County,Nebraska,77.50
Pierce County,Nebraska,90.30
Polk County,Nebraska,81.00
Saline County,Nebraska,89.00
Sherman County,Nebraska,71.70
Stanton County,Nebraska,90.70
Valley County,Nebraska,84.60
Wheeler County,Nebraska,60.80
Eureka County,Nevada,77.70
Pershing County,Nevada,81.90
White Pine County,Nevada,82.40
Camden County,New Jersey,93.20
Gloucester County,New Jersey,95.00
Passaic County,New Jersey,94.80
Bernalillo County,New Mexico,93.60
Lauderdale County,Mississippi,89.60
Leake County,Mississippi,87.90
Leflore County,Mississippi,87.70
Marion County,Mississippi,85.60
Neshoba County,Mississippi,87.90
Perry County,Mississippi,84.70
Quitman County,Mississippi,85.20
Stone County,Mississippi,86.10
Tate County,Mississippi,91.70
Webster County,Mississippi,84.50
Winston County,Mississippi,85.70
Audrain County,Missouri,88.40
Bollinger County,Missouri,82.50
Camden County,Missouri,46.30
Carter County,Missouri,78.80
Christian County,Missouri,92.10
Crawford County,Missouri,82.20
Dent County,Missouri,87.00
Howard County,Missouri,86.90
Alamance County,North Carolina,90.10
Alleghany County,North Carolina,59.00
Bladen County,North Carolina,81.40
Buncombe County,North Carolina,88.60
Caldwell County,North Carolina,88.70
Clay County,North Carolina,65.30
Dare County,North Carolina,42.80
Davidson County,North Carolina,88.80
Forsyth County,North Carolina,90.00
Guilford County,North Carolina,90.20
