County,State,Value
Union Parish,Louisiana,69
Clinton County,Iowa,94
Crawford County,Iowa,82.9
Delaware County,Iowa,98.6
Emmet County,Iowa,93.1
Floyd County,Iowa,95.8
Hamilton County,Iowa,93.8
Henry County,Iowa,92.1
Iowa County,Iowa,97.8
Jones County,Iowa,96.4
Linn County,Iowa,90.8
Madison County,Iowa,98.1
Marion County,Iowa,96.7
Montgomery County,Iowa,97.4
O'Brien County,Iowa,96
Pocahontas County,Iowa,97.5
Sac County,Iowa,97.8
Story County,Iowa,88.6
Union County,Iowa,96.9
Warren County,Iowa,97.1
Worth County,Iowa,97.9
Atchison County,Kansas,91
Butler County,Kansas,93.5
Hillsdale County,Michigan,97
Ionia County,Michigan,91.6
Isabella County,Michigan,89.2
Kalamazoo County,Michigan,81.7
Kent County,Michigan,79.9
Livingston County,Michigan,96.7
Mackinac County,Michigan,76.5
Marquette County,Michigan,93.8
Midland County,Michigan,94.5
Missaukee County,Michigan,97.1
Newaygo County,Michigan,94.1
Osceola County,Michigan,96.9
Roscommon County,Michigan,97.3
Shiawassee County,Michigan,96.7
Washtenaw County,Michigan,74.5
Wexford County,Michigan,96.5
Benton County,Minnesota,94.5
Cottonwood County,Minnesota,92.2
Dodge County,Minnesota,96.1
Douglas County,Minnesota,97.7
Grant County,Minnesota,97.4
Hubbard County,Minnesota,94.5
Kandiyohi County,Minnesota,92.8
Lac qui Parle County,Minnesota,97.6
Le Sueur County,Minnesota,95.5
Lyon County,Minnesota,90.3
Meeker County,Minnesota,97.3
Murray County,Minnesota,96.7
Otter Tail County,Minnesota,96.1
Pope County,Minnesota,97.9
Renville County,Minnesota,95.4
Sherburne County,Minnesota,94
Steele County,Minnesota,93.1
Wadena County,Minnesota,96.7
Watonwan County,Minnesota,86.9
Alcorn County,Mississippi,85.4
Benton County,Mississippi,60.5
Choctaw County,Mississippi,68.4
Covington County,Mississippi,63
Greene County,Mississippi,72.5
Itawamba County,Mississippi,92.4
Jefferson Davis County,Mississippi,38.7
Kemper County,Mississippi,35.3
Webster Parish,Louisiana,64.2
West Baton Rouge Parish,Louisiana,60
Hancock County,Maine,96.9
Piscataquis County,Maine,96.9
Washington County,Maine,92.1
Calvert County,Maryland,81.4
Carroll County,Maryland,92.9
Charles County,Maryland,50.3
Howard County,Maryland,62.2
Kent County,Maryland,80.1
St. Mary's County,Maryland,78.6
Somerset County,Maryland,53.5
Barnstable County,Massachusetts,92.7
Franklin County,Massachusetts,94.2
Antrim County,Michigan,96.8
Branch County,Michigan,92.9
Clare County,Michigan,96.8
Crawford County,Michigan,97.5
Eaton County,Michigan,87.8
Gladwin County,Michigan,97.7
Iron County,Missouri,96.4
Jasper County,Missouri,88.2
Knox County,Missouri,98
Linn County,Missouri,97.2
Madison County,Missouri,97.1
Marion County,Missouri,91.8
Moniteau County,Missouri,92.4
Morgan County,Missouri,96.1
Perry County,Missouri,97.2
Pulaski County,Missouri,77.5
St. Clair County,Missouri,96.5
Saline County,Missouri,86.2
Sullivan County,Missouri,88.7
Washington County,Missouri,95.8
Webster County,Missouri,96.3
Cascade County,Montana,89.2
Golden Valley County,Montana,94
Lake County,Montana,69.4
Madison County,Montana,96.8
Pondera County,Montana,82.7
Silver Bow County,Montana,94.4
Treasure County,Montana,93.9
Wheatland County,Montana,95.8
Adams County,Nebraska,91.9
Blaine County,Nebraska,99.2
Butler County,Nebraska,97.6
Clay County,Nebraska,93
Colfax County,Nebraska,72.6
Dawson County,Nebraska,78
Fillmore County,Nebraska,96.8
Frontier County,Nebraska,98.4
Grant County,Nebraska,98.4
Hall County,Nebraska,82.6
Johnson County,Nebraska,87.1
Kearney County,Nebraska,96.8
Logan County,Nebraska,98.4
McPherson County,Nebraska,98.1
Nance County,Nebraska,98
Pawnee County,Nebraska,97.7
Pierce County,Nebraska,98.4
Polk County,Nebraska,97.9
Saline County,Nebraska,83
Sherman County,Nebraska,99
Stanton County,Nebraska,94.9
Valley County,Nebraska,97.5
Wheeler County,Nebraska,98.3
Eureka County,Nevada,89.3
Pershing County,Nevada,81.9
White Pine County,Nevada,85.5
Camden County,New Jersey,65.3
Gloucester County,New Jersey,83.6
Passaic County,New Jersey,62.6
Bernalillo County,New Mexico,69.4
Lauderdale County,Mississippi,54.8
Leake County,Mississippi,49.5
Leflore County,Mississippi,24.9
Marion County,Mississippi,65.8
Neshoba County,Mississippi,60.6
Perry County,Mississippi,78.2
Quitman County,Mississippi,29
Stone County,Mississippi,78.6
Tate County,Mississippi,66.9
Webster County,Mississippi,78.7
Winston County,Mississippi,51.9
