County,State,Value
St. Charles Parish,Louisiana,0.3
St. James Parish,Louisiana,0.2
Union Parish,Louisiana,0.3
Clinton County,Iowa,0.2
Crawford County,Iowa,0.3
Delaware County,Iowa,0.1
Emmet County,Iowa,0.7
Floyd County,Iowa,0.1
Hamilton County,Iowa,0.2
Henry County,Iowa,0.3
Iowa County,Iowa,0.2
Jones County,Iowa,0.2
Linn County,Iowa,0.3
Madison County,Iowa,0.2
Marion County,Iowa,0.2
Montgomery County,Iowa,0.4
O'Brien County,Iowa,0.1
Pocahontas County,Iowa,0.2
Sac County,Iowa,0.1
Story County,Iowa,0.2
Union County,Iowa,0.3
Warren County,Iowa,0.2
Worth County,Iowa,0.2
Atchison County,Kansas,0.5
Butler County,Kansas,1
Hillsdale County,Michigan,0.4
Ionia County,Michigan,0.5
Isabella County,Michigan,3.4
Kalamazoo County,Michigan,0.4
Kent County,Michigan,0.5
Livingston County,Michigan,0.4
Mackinac County,Michigan,17.3
Marquette County,Michigan,1.7
Midland County,Michigan,0.4
Missaukee County,Michigan,0.6
Newaygo County,Michigan,0.8
Osceola County,Michigan,0.5
Roscommon County,Michigan,0.6
Shiawassee County,Michigan,0.5
Washtenaw County,Michigan,0.3
Wexford County,Michigan,0.6
Benton County,Minnesota,0.4
Cottonwood County,Minnesota,0.2
Dodge County,Minnesota,0.3
Douglas County,Minnesota,0.3
Grant County,Minnesota,0.1
Hubbard County,Minnesota,2.7
Kandiyohi County,Minnesota,0.3
Lac qui Parle County,Minnesota,0.2
Le Sueur County,Minnesota,0.3
Lyon County,Minnesota,0.4
Meeker County,Minnesota,0.2
Murray County,Minnesota,0.1
Otter Tail County,Minnesota,0.5
Pope County,Minnesota,0.2
Renville County,Minnesota,0.6
Sherburne County,Minnesota,0.5
Steele County,Minnesota,0.2
Wadena County,Minnesota,0.5
Watonwan County,Minnesota,0.4
Alcorn County,Mississippi,0.2
Benton County,Mississippi,0.3
Choctaw County,Mississippi,0.2
Covington County,Mississippi,0.1
Greene County,Mississippi,0.3
Itawamba County,Mississippi,0.2
Jefferson Davis County,Mississippi,0.3
Kemper County,Mississippi,3.7
Webster Parish,Louisiana,0.4
West Baton Rouge Parish,Louisiana,0.1
Hancock County,Maine,0.4
