County,State,Value
Union Parish,Louisiana,27.2
Clinton County,Iowa,2.6
Crawford County,Iowa,1.2
Delaware County,Iowa,0.3
Emmet County,Iowa,0.6
Floyd County,Iowa,1.2
Hamilton County,Iowa,0.3
Henry County,Iowa,2.2
Iowa County,Iowa,0.3
Jones County,Iowa,2
Linn County,Iowa,4
Madison County,Iowa,0.3
Marion County,Iowa,0.7
Montgomery County,Iowa,0.2
O'Brien County,Iowa,0.5
Pocahontas County,Iowa,0.4
Sac County,Iowa,0.3
Story County,Iowa,2.5
Union County,Iowa,0.7
Warren County,Iowa,0.5
Worth County,Iowa,0.4
Atchison County,Kansas,5
Butler County,Kansas,1.7
Hillsdale County,Michigan,0.5
Ionia County,Michigan,4.7
Isabella County,Michigan,2.4
Kalamazoo County,Michigan,10.9
Kent County,Michigan,9.7
Livingston County,Michigan,0.4
Mackinac County,Michigan,0.5
Marquette County,Michigan,1.7
Midland County,Michigan,1.2
Missaukee County,Michigan,0.3
Newaygo County,Michigan,1
Osceola County,Michigan,0.6
Roscommon County,Michigan,0.4
Shiawassee County,Michigan,0.5
Washtenaw County,Michigan,12.7
Wexford County,Michigan,0.4
Benton County,Minnesota,1.9
Cottonwood County,Minnesota,0.7
Dodge County,Minnesota,0.3
Douglas County,Minnesota,0.4
Grant County,Minnesota,0.3
Hubbard County,Minnesota,0.2
Kandiyohi County,Minnesota,2.3
Lac qui Parle County,Minnesota,0.2
Le Sueur County,Minnesota,0.3
Lyon County,Minnesota,2.3
Meeker County,Minnesota,0.3
Murray County,Minnesota,0.3
Otter Tail County,Minnesota,0.8
Pope County,Minnesota,0.3
Renville County,Minnesota,0.3
Sherburne County,Minnesota,1.9
Steele County,Minnesota,2.8
Wadena County,Minnesota,0.8
Watonwan County,Minnesota,0.7
Alcorn County,Mississippi,11.4
Benton County,Mississippi,37.3
Choctaw County,Mississippi,30.1
Covington County,Mississippi,34.9
Greene County,Mississippi,26
Itawamba County,Mississippi,5.9
Jefferson Davis County,Mississippi,59.9
Kemper County,Mississippi,60.1
Webster Parish,Louisiana,33.5
West Baton Rouge Parish,Louisiana,37.7
Hancock County,Maine,0.4
Piscataquis County,Maine,0.3
Washington County,Maine,0.4
Calvert County,Maryland,13.4
Carroll County,Maryland,3.2
Charles County,Maryland,41
Howard County,Maryland,17.5
Kent County,Maryland,15.1
St. Mary's County,Maryland,14.3
Somerset County,Maryland,42.3
Barnstable County,Massachusetts,1.9
Franklin County,Massachusetts,1.1
Antrim County,Michigan,0.2
Branch County,Michigan,3.1
Clare County,Michigan,0.5
Crawford County,Michigan,0.4
Eaton County,Michigan,6.3
Gladwin County,Michigan,0.2
Iron County,Missouri,1.3
Jasper County,Missouri,1.9
Knox County,Missouri,0.3
Linn County,Missouri,0.7
Madison County,Missouri,0.3
Marion County,Missouri,4.9
Moniteau County,Missouri,3.7
Morgan County,Missouri,0.6
Perry County,Missouri,0.4
Pulaski County,Missouri,11.4
St. Clair County,Missouri,0.5
Saline County,Missouri,5.3
Sullivan County,Missouri,0.5
Washington County,Missouri,2.2
Webster County,Missouri,0.9
Cascade County,Montana,1.2
Golden Valley County,Montana,0
Lake County,Montana,0.3
Madison County,Montana,0.2
Pondera County,Montana,0.1
Silver Bow County,Montana,0.3
Treasure County,Montana,0
Wheatland County,Montana,0.3
Adams County,Nebraska,0.8
Blaine County,Nebraska,0.2
Butler County,Nebraska,0.3
Clay County,Nebraska,0.3
Colfax County,Nebraska,0.8
Dawson County,Nebraska,3.1
Fillmore County,Nebraska,0.6
Frontier County,Nebraska,0
Grant County,Nebraska,0
Hall County,Nebraska,1.7
Johnson County,Nebraska,5.3
Kearney County,Nebraska,0.2
Logan County,Nebraska,0.1
McPherson County,Nebraska,0.4
Nance County,Nebraska,0.2
Pawnee County,Nebraska,0.3
Pierce County,Nebraska,0.2
Polk County,Nebraska,0.1
Saline County,Nebraska,0.9
Sherman County,Nebraska,0.1
Stanton County,Nebraska,0.7
Valley County,Nebraska,0.1
Wheeler County,Nebraska,0
Eureka County,Nevada,0.1
Pershing County,Nevada,3.7
White Pine County,Nevada,3.9
Camden County,New Jersey,19.6
Gloucester County,New Jersey,10.1
Passaic County,New Jersey,12.8
Bernalillo County,New Mexico,3
Lauderdale County,Mississippi,42.8
Leake County,Mississippi,40.6
Leflore County,Mississippi,72.2
Marion County,Mississippi,32.3
Neshoba County,Mississippi,20.9
Perry County,Mississippi,20
Quitman County,Mississippi,69.6
Stone County,Mississippi,19.1
Tate County,Mississippi,30.3
Webster County,Mississippi,19.9
Winston County,Mississippi,45.6
Audrain County,Missouri,6.4
Bollinger County,Missouri,0.3
Camden County,Missouri,0.4
Carter County,Missouri,0.1
Christian County,Missouri,0.6
Crawford County,Missouri,0.3
Dent County,Missouri,0.4
Howard County,Missouri,5.2
Alamance County,North Carolina,18.8
Alleghany County,North Carolina,1.3
Bladen County,North Carolina,34.9
Buncombe County,North Carolina,6.4
Caldwell County,North Carolina,4.9
Clay County,North Carolina,0.6
Dare County,North Carolina,2.5
