County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Maui County,Hawaii,28.8,0.6,10.1,0.4,2,34.4
Boise County,Idaho,0.4,0.2,3.5,0.8,0.8,95.4
Boundary County,Idaho,0.6,0.3,3.7,1.7,0.5,94.8
Gem County,Idaho,0.5,0.1,8,0.6,3.1,93.4
Jefferson County,Idaho,0.4,0.2,10.1,0.8,5.8,91.2
Latah County,Idaho,2.1,0.8,3.6,0.6,1,92.8
Minidoka County,Idaho,0.4,0.4,32.4,1.2,15.3,80.2
Teton County,Idaho,0.5,0.2,16.9,0.3,11.7,85.6
Bond County,Illinois,0.4,6.1,3.1,0.5,0.3,90.9
Brown County,Illinois,0.2,18.5,5.8,0.2,4.4,76.1
Champaign County,Illinois,8.9,12.4,5.3,0.3,2.2,73.4
Coles County,Illinois,1,3.8,2.1,0.2,0.6,92.9
Cumberland County,Illinois,0.2,0.3,0.7,0.2,0.2,98.3
Effingham County,Illinois,0.4,0.2,1.7,0.1,0.8,97.6
Franklin County,Illinois,0.3,0.3,1.2,0.3,0.3,97.7
Hamilton County,Illinois,0.2,0.4,1.2,0.2,0.3,98.2
Henderson County,Illinois,0.2,0.2,1.1,0.2,0.2,98.2
Iroquois County,Illinois,0.3,0.8,5.3,0.2,2.6,94.7
Johnson County,Illinois,0.2,8,3,0.2,1.6,89
Knox County,Illinois,0.6,7.2,4.8,0.2,1.9,87.5
Livingston County,Illinois,0.5,4.9,3.9,0.2,1.3,91.8
Marion County,Illinois,0.6,3.9,1.4,0.3,0.4,93.1
Menard County,Illinois,0.2,0.6,1,0.3,0.4,97.5
Moultrie County,Illinois,0.2,0.3,0.9,0.2,0.2,98.5
Perry County,Illinois,0.4,8.3,2.7,0.2,1.6,87.9
Putnam County,Illinois,0.2,0.5,4.2,0.1,1.4,96.6
Schuyler County,Illinois,0.1,3.2,1.2,0.2,0.5,95.5
Stark County,Illinois,0.3,0.5,1,0.2,0.3,97.7
Tazewell County,Illinois,0.7,1,1.9,0.3,0.5,96.2
Wayne County,Illinois,0.4,0.3,1.1,0.2,0.3,98
Woodford County,Illinois,0.6,0.5,1.4,0.2,0.3,97.4
Benton County,Indiana,0.2,0.5,4.9,0.1,2.2,95.9
Cass County,Indiana,1.1,1.5,12.6,0.5,7,88.2
Daviess County,Indiana,0.5,0.5,4.2,0.2,2.6,95
Dubois County,Indiana,0.5,0.3,6,0.2,3.1,95.1
Franklin County,Indiana,0.2,0.2,0.9,0.1,0.3,98.3
Hamilton County,Indiana,4.8,3.5,3.4,0.2,1.2,88.5
Howard County,Indiana,0.9,6.9,2.7,0.3,0.8,88.6
Jennings County,Indiana,0.2,0.8,2,0.1,1,96.8
Kosciusko County,Indiana,0.8,0.7,7.3,0.3,3.4,93.3
Madison County,Indiana,0.4,8.3,3.2,0.2,1.5,87.7
Martin County,Indiana,0.3,0.1,0.7,0.3,0.2,98.4
Noble County,Indiana,0.4,0.4,9.6,0.2,5.2,92.5
Ohio County,Indiana,0.3,0.4,1.1,0.2,0.3,98.1
Pulaski County,Indiana,0.2,0.7,2.4,0.3,0.6,97.2
Ripley County,Indiana,0.5,0.2,1.5,0.2,0.5,97.6
Starke County,Indiana,0.2,0.3,3.3,0.3,0.9,97.1
Tipton County,Indiana,0.4,0.2,2.2,0.1,0.7,97.6
Warrick County,Indiana,1.6,1.3,1.6,0.2,0.5,95
Wells County,Indiana,0.4,0.3,2,0.3,0.8,97.3
Whitley County,Indiana,0.3,0.3,1.5,0.3,0.4,97.6
Benton County,Iowa,0.3,0.4,1.1,0.2,0.2,98.1
Bremer County,Iowa,0.7,0.8,1,0.1,0.3,97.2
Calhoun County,Iowa,0.2,0.2,0.9,0.2,0.2,98.5
Cherokee County,Iowa,0.5,0.5,2.3,0.3,1.1,96.6
Clarke County,Iowa,0.4,0.4,10,0.3,3.6,94.3
Glascock County,Georgia,0,8.2,1.1,0.2,0.6,89.8
Gordon County,Georgia,1,3.6,14,0.4,7.7,85.2
Grady County,Georgia,0.4,28.7,10,0.7,5.7,62.8
Hall County,Georgia,1.8,7.4,26.1,0.5,13.9,74.1
Jackson County,Georgia,1.7,6.8,6.2,0.2,2.7,86.8
Jones County,Georgia,0.7,24.4,1.1,0.2,0.4,73.2
Laurens County,Georgia,1,35.8,2.4,0.2,1.2,60.6
Lumpkin County,Georgia,0.5,1.1,4.5,0.6,1.5,94.4
Marion County,Georgia,0.9,32.7,6.5,0.5,4.1,60.1
Miller County,Georgia,0.5,28.1,1.5,0.2,0.4,69.6
Newton County,Georgia,0.9,40.9,4.6,0.2,2.1,53.8
Peach County,Georgia,0.8,45.9,6.8,0.2,3.2,48.3
Polk County,Georgia,0.7,12.5,11.8,0.3,7.5,77.1
Randolph County,Georgia,0.3,61.8,1.5,0.1,0.5,36.6
Seminole County,Georgia,0.4,33.4,2.3,0.1,1,64.1
Taliaferro County,Georgia,0.6,59.6,2,0.1,0.9,37.3
