County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Barnes County,North Dakota,0.5,0.8,1.1,0.7,0.2,96.4
Billings County,North Dakota,0.5,0.3,0.5,0.4,0.1,98.6
Cavalier County,North Dakota,0.2,0.1,0.6,0.9,0.2,97.7
Foster County,North Dakota,0.1,0.1,0.9,0.6,0.2,98.4
Grand Forks County,North Dakota,1.9,2,2.9,2.5,0.8,90.3
LaMoure County,North Dakota,0.1,0.1,0.8,0.4,0.2,98.5
Mountrail County,North Dakota,0.2,0.2,3.7,30.6,0.8,65.6
Ransom County,North Dakota,0.4,0.3,1.2,0.4,0.1,97.8
Rolette County,North Dakota,0.1,0.2,1,77.2,0.1,20.3
Steele County,North Dakota,0.1,0.2,1,1.2,0.4,97.6
Towner County,North Dakota,0,0.1,0.4,2.2,0.3,96.7
Allen County,Ohio,0.7,11.9,2.4,0.2,0.8,83.8
Brown County,Ohio,0.2,0.9,0.6,0.2,0.2,97.5
Clinton County,Ohio,0.5,2.2,1.3,0.2,0.5,94.7
Defiance County,Ohio,0.3,1.9,8.7,0.3,2.8,92.8
Fayette County,Ohio,0.5,2,1.8,0.2,0.8,94.6
Geauga County,Ohio,0.6,1.3,1.1,0.1,0.3,96.9
Guernsey County,Ohio,0.3,1.5,0.9,0.2,0.2,96
Hancock County,Ohio,1.7,1.5,4.5,0.2,1.4,93.4
Knox County,Ohio,0.6,0.8,1.2,0.2,0.4,96.7
Logan County,Ohio,0.5,1.6,1.2,0.3,0.3,95.3
Madison County,Ohio,0.5,6.6,1.4,0.2,0.5,90.6
Miami County,Ohio,1.2,2,1.3,0.2,0.5,94.4
Muskingum County,Ohio,0.3,3.8,0.8,0.2,0.2,93
Pike County,Ohio,0.2,0.9,0.7,0.5,0.2,96.6
Putnam County,Ohio,0.2,0.3,5.5,0.2,2.7,95.7
Seneca County,Ohio,0.6,2.3,4.4,0.2,1.3,93.7
Tuscarawas County,Ohio,0.3,0.8,1.9,0.3,0.7,96.6
Wayne County,Ohio,0.8,1.5,1.6,0.2,0.5,95.7
Wood County,Ohio,1.5,2.4,4.5,0.2,1.3,92.8
Beckham County,Oklahoma,0.8,4,11.8,2.8,4.6,85
Carter County,Oklahoma,1.1,6.7,5.3,8.9,2.2,74.4
Coal County,Oklahoma,0.2,0.5,2.6,16.7,0.5,74.3
Custer County,Oklahoma,1,3,13.9,6.3,7.6,78.1
Garfield County,Oklahoma,1,3,8.8,2.3,4.6,83.9
Greer County,Oklahoma,0.2,7.1,9.8,2.7,3.4,83
Eddy County,New Mexico,0.7,1.4,44.1,1.5,16,77.4
Guadalupe County,New Mexico,1.3,1.7,79.6,1.9,21.4,70.4
Lincoln County,New Mexico,0.4,0.5,29.8,2.4,9.2,85.1
Socorro County,New Mexico,1.2,1.1,48.5,11.7,8.1,75.1
Allegany County,New York,0.9,1.1,1.4,0.2,0.4,96.2
Chenango County,New York,0.4,0.7,1.8,0.3,0.4,96.9
Genesee County,New York,0.6,2.7,2.7,1.1,1,92.9
Herkimer County,New York,0.5,1.1,1.6,0.2,0.3,96.6
Lewis County,New York,0.3,0.7,1.3,0.2,0.2,97.7
Oneida County,New York,2.8,6.3,4.6,0.3,1.5,87.1
Otsego County,New York,1.1,1.7,3.1,0.2,0.7,94.7
Saratoga County,New York,1.8,1.5,2.4,0.2,0.5,94.3
Steuben County,New York,1.2,1.6,1.4,0.2,0.3,95.3
Warren County,New York,0.7,0.9,1.8,0.2,0.3,96.5
Yates County,New York,0.4,0.8,1.7,0.1,0.4,97.2
Blair County,Pennsylvania,0.6,1.7,1,0.1,0.2,96.2
Bradford County,Pennsylvania,0.5,0.5,1.1,0.2,0.2,97.5
Cambria County,Pennsylvania,0.5,3.6,1.4,0.1,0.4,94.1
Clarion County,Pennsylvania,0.5,1.2,0.6,0.1,0.1,97.2
Elk County,Pennsylvania,0.3,0.3,0.6,0.1,0.1,98.5
Indiana County,Pennsylvania,0.9,2.7,1.1,0.1,0.4,94.9
Lackawanna County,Pennsylvania,1.7,2.5,5,0.2,2,92
Mifflin County,Pennsylvania,0.4,0.6,1.1,0.1,0.3,97.5
Montour County,Pennsylvania,1.8,1.4,1.8,0.1,0.5,95.3
Potter County,Pennsylvania,0.3,0.4,1,0.3,0.2,98.1
Sullivan County,Pennsylvania,0.3,2.6,1.4,0.4,0.1,95.9
Warren County,Pennsylvania,0.4,0.4,0.7,0.2,0.1,98.1
Allendale County,South Carolina,0.4,73.6,2.3,0.2,1.3,23.7
Bamberg County,South Carolina,0.4,61.5,1.6,0.3,0.7,36.1
Clarendon County,South Carolina,0.6,50.1,2.6,0.2,1.2,47
Fairfield County,South Carolina,0.2,59.1,1.6,0.2,0.8,38.6
Greenwood County,South Carolina,0.8,31.4,5.4,0.3,3.5,62.9
Horry County,South Carolina,1,13.4,6.2,0.5,3.1,79.9
Laurens County,South Carolina,0.3,25.4,4.1,0.2,2.3,70.4
Newberry County,South Carolina,0.3,31,7.2,0.3,5,62.1
Spartanburg County,South Carolina,2,20.6,5.9,0.3,3.1,72.3
Beadle County,South Dakota,3.6,0.8,7.7,1.1,3,89.7
Brule County,South Dakota,0.2,0.2,1.4,8.5,0.3,88.4
Codington County,South Dakota,0.4,0.3,1.6,2,0.6,95.3
Davison County,South Dakota,0.5,0.4,1.5,2.5,0.5,94.4
Dewey County,South Dakota,0.2,0.1,1.8,74.9,0.2,21
Faulk County,South Dakota,0.1,0.1,0.8,0.1,0,98.9
Hand County,South Dakota,0.3,0.1,0.6,0.2,0.2,98.4
Jackson County,South Dakota,0,0.2,1.3,52,0.2,42.7
Kingsbury County,South Dakota,0.3,0.1,1.4,0.5,0.3,98.1
McCook County,South Dakota,0.1,0.1,1.8,0.4,0.6,98
Miner County,South Dakota,0.4,0.1,1.3,0.2,0.7,97.8
Potter County,South Dakota,0.3,0.1,0.7,0.9,0.2,97.6
Spink County,South Dakota,0.1,0.3,1.1,1.2,0.4,97.1
Turner County,South Dakota,0.2,0.2,1.3,0.8,0.3,97.5
Walworth County,South Dakota,0.2,0.1,0.7,14.3,0.2,82.6
Benton County,Tennessee,0.4,1.9,1.8,0.4,0.4,95.4
Blount County,Tennessee,0.7,2.7,2.8,0.3,1.1,93.5
Cannon County,Tennessee,0.1,1.2,1.5,0.2,0.5,96.6
Clay County,Tennessee,0.1,1.3,1.6,0.3,0.6,96.5
Decatur County,Tennessee,0.2,2.9,2.6,0.2,0.7,94.7
Franklin County,Tennessee,0.7,5.1,2.5,0.4,1.2,90.8
Hamblen County,Tennessee,0.7,4,10.7,0.3,6.2,86.6
Hawkins County,Tennessee,0.5,1.3,1.2,0.2,0.4,96.5
Humphreys County,Tennessee,0.2,2.5,1.5,0.4,0.5,95.1
Knox County,Tennessee,1.9,8.8,3.5,0.3,1.5,85.6
Loudon County,Tennessee,0.6,1.1,7,0.3,3.5,93.4
Marshall County,Tennessee,0.4,6.5,4.5,0.4,2.4,88.5
Morgan County,Tennessee,0.2,3.7,0.9,0.3,0.2,94.4
Polk County,Tennessee,0.1,0.3,1.4,0.4,0.4,97.5
Scott County,Tennessee,0.2,0.1,0.5,0.3,0.3,98.3
Sumner County,Tennessee,1,6.4,3.9,0.3,1.6,88.9
Union County,Tennessee,0.1,0.1,1.3,0.3,0.4,97.7
Harper County,Oklahoma,0.2,0.1,17.5,0.8,9.3,87.4
Hughes County,Oklahoma,0.2,5.3,3.8,18.2,1.4,68.1
Kingfisher County,Oklahoma,0.3,1.1,13.4,3.1,7.8,84.5
Lincoln County,Oklahoma,0.2,1.8,2.4,6.5,0.6,85.9
McClain County,Oklahoma,0.4,0.7,7,6.4,2.7,84.5
Mayes County,Oklahoma,0.4,0.4,2.7,21.4,0.8,68
Oklahoma County,Oklahoma,3,15.4,15.1,3.5,8.1,64.6
Pontotoc County,Oklahoma,0.7,2.4,4.1,17.4,1.1,71.2
Pushmataha County,Oklahoma,0.2,0.7,2.4,17.6,0.8,75
Washington County,Oklahoma,1.1,2.4,5,10.3,1.7,78.3
Woodward County,Oklahoma,0.6,1.6,10.6,2.8,5.6,86.7
Deschutes County,Oregon,0.9,0.4,7.4,0.9,3,92.2
Jefferson County,Oregon,0.4,0.6,19.3,16.9,9.1,69
Lake County,Oregon,0.7,0.5,6.9,2.1,3.1,90.3
Polk County,Oregon,1.9,0.6,12.1,2.1,5.4,85.9
Wheeler County,Oregon,0.6,0,4.3,1.2,2.6,92.4
Armstrong County,Pennsylvania,0.2,0.8,0.5,0.1,0.1,98
Gonzales County,Texas,0.4,7.4,47.2,1,17.5,71.5
Gray County,Texas,0.4,4.9,23.8,0.9,9.9,81.5
Grimes County,Texas,0.2,16.5,21.2,0.5,7.6,73
Hall County,Texas,0.1,7.2,32.4,0.8,13.4,76.9
Hansford County,Texas,0.3,0.6,43.3,0.9,14.1,81.8
Hill County,Texas,0.3,6.3,18.3,0.5,7.2,83.5
Howard County,Texas,0.8,6.2,37.9,0.9,15.9,74.1
Hutchinson County,Texas,0.4,2.5,19.8,1.6,7.1,85.5
Jim Hogg County,Texas,0.3,0.4,92.6,0.4,9.5,87.9
Johnson County,Texas,0.7,2.6,18.1,0.7,6.3,87.2
Kent County,Texas,0,1,14.9,0.9,3.6,93.2
Kerr County,Texas,0.8,1.8,24,0.7,6.9,87.7
Knox County,Texas,0.2,5.8,29.6,0.6,14.1,76.4
La Salle County,Texas,0.1,0.5,86,0.6,8,89.7
Live Oak County,Texas,0.5,4.4,35.2,0.8,5.1,87.7
Lubbock County,Texas,2.1,7.5,31.9,0.7,9.9,77.3
McLennan County,Texas,1.4,14.8,23.6,0.6,10.9,69.8
Mason County,Texas,0.2,0.4,21.5,0.4,5,93
Midland County,Texas,1.3,6.6,37.7,0.7,12,76.9
Montgomery County,Texas,2.1,4.3,20.8,0.7,7,83.5
Navarro County,Texas,0.5,13.8,23.8,0.6,12.5,69.4
Nolan County,Texas,0.4,4.7,33.5,0.6,8.3,83.6
Ochiltree County,Texas,0.3,0.4,48.7,1,10.4,85.6
Oldham County,Texas,0.8,3,11.8,0.6,3.9,90.2
Parker County,Texas,0.5,1.6,10.6,0.8,3.8,91.4
Rains County,Texas,0.5,2.3,7.7,1,3.4,91.2
Randall County,Texas,1.4,2.4,16.4,0.7,4.4,88.9
Roberts County,Texas,0.2,0.1,8,0.3,3.6,93.8
Rockwall County,Texas,2.4,5.8,15.9,0.6,5.4,83.6
Runnels County,Texas,0.2,1.8,32,0.7,12.4,83.2
San Saba County,Texas,0.2,3.3,28,0.8,9.9,84.3
Somervell County,Texas,0.6,0.7,19.2,0.8,10.1,85
Stephens County,Texas,0.3,2.1,20.9,0.5,10.6,84.7
Stonewall County,Texas,0.9,2.6,14,0.5,6.3,87.7
Terry County,Texas,0.2,4.8,49.1,0.6,10.5,81.3
Titus County,Texas,0.7,9.6,39.6,1.1,18.7,67.6
Upshur County,Texas,0.4,8.7,6.6,0.7,3,85.1
Uvalde County,Texas,0.5,0.6,69.3,0.6,17.2,78.1
Ward County,Texas,0.3,4.9,47.6,0.9,13.4,77.2
Williamson County,Texas,4.8,6.2,23.2,0.6,6.9,78.1
Wise County,Texas,0.4,1.1,17.1,0.8,6.9,88.7
Zavala County,Texas,0,0.8,93.9,0.4,9.1,88.2
Davis County,Utah,1.8,1.2,8.4,0.5,3.2,90
White County,Tennessee,0.3,1.8,1.6,0.3,0.4,95.7
Wilson County,Tennessee,1.1,6.4,3.2,0.3,1.5,88.9
Archer County,Texas,0.2,0.4,7.5,0.7,3.3,93.9
Armstrong County,Texas,0,0.6,6.5,0.8,4.2,93.3
Bastrop County,Texas,0.7,7.8,32.6,1,13.8,73.8
Blanco County,Texas,0.5,0.7,18.2,0.7,5.9,90.3
Brooks County,Texas,0.3,0.5,91.2,0.3,7.9,89.6
Burnet County,Texas,0.5,1.8,20.2,0.7,6.7,88.5
Camp County,Texas,0.5,17.4,21.4,0.7,10.8,67.8
Castro County,Texas,0.4,2,59.9,0.9,26.4,68.6
Cochran County,Texas,0.2,4,52.9,1.2,18.7,73.2
Concho County,Texas,0.3,1.9,53.2,0.4,8.4,86.9
Coryell County,Texas,1.9,15.8,15.9,0.8,5.1,70.3
Crane County,Texas,0.4,2.9,55.1,1,19.4,74.1
Dawson County,Texas,0.4,6.5,53.4,0.7,13.4,76.7
DeWitt County,Texas,0.2,9.3,32.4,0.4,12,75.7
Dimmit County,Texas,0.6,1,86.2,0.3,7.9,88.6
Edwards County,Texas,0.3,0.5,51.3,1.3,9.8,86.9
Fayette County,Texas,0.3,6.6,18.7,0.7,7.5,83.5
Franklin County,Texas,0.5,3.9,12.6,0.7,6.6,86.5
Garza County,Texas,0.1,6.5,47.1,0.6,8.8,82.8
Montgomery County,Virginia,5.4,3.9,2.7,0.2,0.8,87.6
Nelson County,Virginia,0.5,13.1,3.1,0.3,1.1,83.3
Patrick County,Virginia,0.2,5.9,2.4,0.3,1.4,91.1
Powhatan County,Virginia,0.5,13.6,1.8,0.3,0.5,83.8
Pulaski County,Virginia,0.5,5,1.2,0.2,0.3,92.5
Russell County,Virginia,0.2,0.8,1,0.2,0.4,97.8
Warren County,Virginia,1,4.6,3.5,0.3,1,90.9
Wythe County,Virginia,0.4,2.8,1,0.1,0.4,95.1
Alexandria city,Virginia,6,21.8,16.1,0.4,7.1,60.9
Bedford city,Virginia,0.7,20.2,2.2,0.2,0.6,76.4
Buena Vista city,Virginia,0.4,5.2,1.5,1.1,0.4,91
Charlottesville city,Virginia,6.4,19.4,5.1,0.3,1.8,69.1
Harrisonburg city,Virginia,3.5,6.4,15.7,0.3,8.2,78.4
Hopewell city,Virginia,0.8,37,6.6,0.4,3.1,55.4
Martinsville city,Virginia,0.9,45,4,0.2,2,49.9
Richmond city,Virginia,2.3,50.6,6.3,0.3,3.6,40.8
Salem city,Virginia,1.6,7.1,2.4,0.2,1.3,88.2
Waynesboro city,Virginia,0.7,10.6,6.4,0.3,2.9,82.2
Cowlitz County,Washington,1.5,0.6,7.8,1.5,3.5,88.9
Franklin County,Washington,1.8,1.9,51.2,0.7,31.8,60.5
Lewis County,Washington,0.9,0.5,8.7,1.4,4,89.7
Mason County,Washington,1.2,1.1,8,3.7,3.4,86.1
Spokane County,Washington,2.1,1.7,4.5,1.5,1.2,89.2
Barbour County,West Virginia,0.2,0.7,0.6,0.6,0.2,96.8
Boone County,West Virginia,0.1,0.5,0.4,0.1,0.2,98.5
Calhoun County,West Virginia,0.2,0.2,0.7,0.3,0.2,98.4
Gilmer County,West Virginia,0.4,12.3,5.7,0.5,2.4,82.5
Jackson County,West Virginia,0.3,0.3,0.6,0.2,0.2,98.2
Marion County,West Virginia,0.5,3.3,0.9,0.2,0.2,94.3
Monongalia County,West Virginia,3.1,3.6,1.8,0.2,0.4,91
Nicholas County,West Virginia,0.3,0.2,0.6,0.2,0.1,98.4
Preston County,West Virginia,0.1,1.1,0.7,0.2,0.2,97.6
Summers County,West Virginia,0.2,4.8,1.4,0.3,0.4,93
Webster County,West Virginia,0.1,0.2,0.5,0.1,0.1,98.6
Adams County,Wisconsin,0.4,3,3.8,1,1.3,93
Bayfield County,Wisconsin,0.3,0.3,1.1,9.6,0.2,86.7
Clark County,Wisconsin,0.4,0.2,3.7,0.5,2.2,96.1
Door County,Wisconsin,0.4,0.5,2.4,0.6,0.9,96.6
Dunn County,Wisconsin,2.6,0.5,1.4,0.4,0.5,94.7
Fond du Lac County,Wisconsin,1.1,1.3,4.3,0.5,1.7,94.1
Green Lake County,Wisconsin,0.5,0.5,3.9,0.3,1.4,96.7
Iowa County,Wisconsin,0.5,0.4,1.4,0.2,0.4,97.6
Jackson County,Wisconsin,0.3,2,2.5,6.2,0.7,89.3
Langlade County,Wisconsin,0.3,0.4,1.6,1,0.5,96.4
Marquette County,Wisconsin,0.4,0.5,2.5,0.6,0.8,96.9
Monroe County,Wisconsin,0.6,1.1,3.7,1.1,1.7,93.9
Polk County,Wisconsin,0.4,0.2,1.5,1,0.5,96.8
Rusk County,Wisconsin,0.3,0.4,1.2,0.5,0.3,97.6
Trempealeau County,Wisconsin,0.4,0.2,5.8,0.2,3.8,94.5
Washington County,Wisconsin,1.1,0.9,2.6,0.3,0.8,95.8
Wood County,Wisconsin,1.8,0.5,2.2,0.8,0.8,95
Natrona County,Wyoming,0.7,0.9,6.9,1,2.2,92.8
Platte County,Wyoming,0.4,0.3,6.7,0.4,2,95.4
Sheridan County,Wyoming,0.7,0.4,3.5,1.2,0.7,95.4
Weston County,Wyoming,0.3,0.3,3,1.3,0.9,95.5
Arecibo Municipio,Puerto Rico,0.1,6.1,99.2,0.4,6.1,84.5
Morgan County,Utah,0.4,0.2,2.4,0.2,0.7,97.5
Piute County,Utah,0.4,0.1,7,0.3,3,94.7
Salt Lake County,Utah,3.3,1.6,17.1,0.9,8.3,81.2
Wasatch County,Utah,0.8,0.3,13.5,0.5,6.4,90.4
Caledonia County,Vermont,0.8,0.5,1.1,0.4,0.3,96.5
Orleans County,Vermont,0.3,0.6,1.1,0.5,0.3,96.6
Amelia County,Virginia,0.2,23.1,2.3,0.4,1.3,73.5
Bath County,Virginia,0.1,4.7,2.1,0.1,0.6,93.7
Buckingham County,Virginia,0.4,35.1,1.7,0.3,0.6,62.1
Clarke County,Virginia,0.9,5.3,3.5,0.3,1.3,90.2
Culpeper County,Virginia,1.3,15.8,8.9,0.4,4.6,75.1
Floyd County,Virginia,0.2,1.8,2.7,0.1,0.8,95.9
Goochland County,Virginia,1,19.2,2.1,0.2,0.8,77.5
King William County,Virginia,0.7,17.7,2,1.4,0.6,77.2
Lunenburg County,Virginia,0.2,34.7,3.6,0.3,2.2,60.8
Madison County,Virginia,0.6,9.8,1.8,0.2,0.5,86.7
Choctaw County,Alabama,0.1,43.4,0.5,0.1,0.2,55.8
Clarke County,Alabama,0.3,43.9,1,0.4,0.3,54.5
Cleburne County,Alabama,0.2,3.3,2.1,0.3,1,94
Coffee County,Alabama,1.3,16.7,6.4,1.3,3.2,74.7
Coosa County,Alabama,0.1,31,2,0.3,1.2,66.3
Dallas County,Alabama,0.3,69.4,0.7,0.2,0.2,29.1
Etowah County,Alabama,0.6,15.1,3.3,0.4,1.9,80.3
Franklin County,Alabama,0.2,3.9,14.9,0.7,10.5,83
Geneva County,Alabama,0.3,9.5,3.4,0.8,1.5,86.3
Henry County,Alabama,0.3,28.6,2.2,0.3,1.2,68.6
Jackson County,Alabama,0.3,3.3,2.5,1.4,1.4,90.8
Lee County,Alabama,2.6,22.7,3.3,0.3,1.3,71.3
Lowndes County,Alabama,0.1,73.5,0.8,0.2,0.3,25.3
Macon County,Alabama,0.4,82.6,1.1,0.1,0.3,15.5
Madison County,Alabama,2.5,24,4.6,0.8,2,68.2
Marion County,Alabama,0.2,3.8,2.1,0.3,0.9,93.6
Marshall County,Alabama,0.5,1.6,12.1,0.8,7.8,87.6
Montgomery County,Alabama,2.1,54.7,3.6,0.3,2.1,39.5
Perry County,Alabama,0.3,68.7,1.1,0.2,0.2,30.3
Pike County,Alabama,2,36.6,2.2,0.6,1,58.2
Randolph County,Alabama,0.2,20.1,2.8,0.4,1.6,76.5
Russell County,Alabama,0.4,41.8,3.7,0.4,1.3,53.7
Shelby County,Alabama,1.9,10.6,5.9,0.3,2.8,83
Tallapoosa County,Alabama,0.5,26.6,2.5,0.3,1.7,69.9
Walker County,Alabama,0.3,5.9,2,0.4,1,91.2
Wilcox County,Alabama,0,72.5,0.6,0.1,0.1,26.8
Aleutians West Census Area,Alaska,28.9,6,13.1,15.4,6.3,36
Bristol Bay Borough,Alaska,0.8,0,2.4,33.5,0.4,48.2
Dillingham Census Area,Alaska,0.7,0.2,2.1,71.6,0.2,18.1
Juneau City and Borough,Alaska,6.1,0.9,5.1,11.8,1.2,69.7
Ketchikan Gateway Borough,Alaska,7,0.6,4,14.2,0.7,68.1
Matanuska-Susitna Borough,Alaska,1.2,1,3.7,5.5,0.7,84.9
North Slope Borough,Alaska,4.5,1,2.6,54.1,0.7,33.4
Petersburg Census Area,Alaska,2.6,0.4,3.4,16.1,1.1,71.1
Sitka City and Borough,Alaska,6,0.5,4.9,16.8,1.3,65.3
Woodruff County,Arkansas,0.2,27.5,1.2,0.2,0.7,69.9
Alpine County,California,0.6,0,7.1,20.4,1.6,75
Butte County,California,4.1,1.6,14.1,2,5.5,81.9
Calaveras County,California,1.3,0.8,10.3,1.5,3.4,88.9
Barranquitas Municipio,Puerto Rico,0,5.4,99.3,0.3,6.4,86
Caguas Municipio,Puerto Rico,0.2,11,99.1,0.6,8.5,76.1
Carolina Municipio,Puerto Rico,0.4,22.8,98.6,0.9,8.4,64.3
Comer’_o Municipi,Puerto Rico,0.1,8.6,99.6,0.6,8.8,78.6
Florida Municipio,Puerto Rico,0.1,4.6,99.6,0.3,2.8,90.4
Guaynabo Municipio,Puerto Rico,0.2,9.8,98.2,0.4,6.9,79.4
Humacao Municipio,Puerto Rico,0.2,18.5,99,0.8,9.7,66.1
Las Mar’_as Municipi,Puerto Rico,0,5.3,99.4,0.4,6.5,86.3
Maricao Municipio,Puerto Rico,0,4.8,99.4,0.4,3.8,89.2
Naranjito Municipio,Puerto Rico,0.1,6,99.5,0.5,6,84.2
Quebradillas Municipio,Puerto Rico,0.1,3.7,99.3,0.1,4.6,89.2
San Lorenzo Municipio,Puerto Rico,0.1,9.9,99.5,0.8,8.2,76.1
Toa Alta Municipio,Puerto Rico,0.1,9.6,99.3,0.4,10.1,76.3
Vega Baja Municipio,Puerto Rico,0.1,11.5,99.3,0.5,8.2,77.3
Bibb County,Alabama,0.1,22,1.8,0.3,0.8,75.8
Bullock County,Alabama,0.2,70.2,7.1,0.2,5.2,23
Calhoun County,Alabama,0.7,20.6,3.3,0.5,1.6,74.9
Mendocino County,California,1.7,0.7,22.2,4.9,11.6,76.5
Modoc County,California,0.8,0.8,13.9,3.8,7,83.5
Mono County,California,1.4,0.3,26.5,2.1,10.8,82.4
Nevada County,California,1.2,0.4,8.5,1.1,2.7,91.4
Orange County,California,17.9,1.7,33.7,0.6,14.5,60.8
Riverside County,California,6,6.4,45.5,1.1,20.5,61
San Benito County,California,2.6,0.9,56.4,1.6,26.2,63.7
San Diego County,California,10.9,5.1,32,0.9,13.6,64
San Francisco County,California,33.3,6.1,15.1,0.5,6.6,48.5
Santa Barbara County,California,4.9,2,42.9,1.3,17.4,69.6
Santa Cruz County,California,4.2,1.1,32,0.9,16.5,72.5
Siskiyou County,California,1.2,1.3,10.3,4,3.3,84.7
Solano County,California,14.6,14.7,24,0.8,10.5,51
Sutter County,California,14.4,2,28.8,1.4,15.3,61
Tehama County,California,1,0.6,21.9,2.6,9.9,81.5
Trinity County,California,0.7,0.4,7,4.8,1.6,87.3
Tuolumne County,California,1,2.1,10.7,1.9,4,87.2
Yolo County,California,13,2.6,30.3,1.1,13.9,63.2
Adams County,Colorado,3.6,3.1,38,1.3,14.6,73.3
Archuleta County,Colorado,0.7,0.3,17.8,1.9,7.8,86.4
Baca County,Colorado,0.2,0.6,9.2,1.3,3.7,92.6
Chaffee County,Colorado,0.6,1.5,9.4,1.1,1.9,93.2
Conejos County,Colorado,0.3,0.3,56,2.2,16.8,76.2
Delta County,Colorado,0.5,0.5,14,1,6,89.7
Dolores County,Colorado,0.1,0.2,4,2.9,1.3,93
Elbert County,Colorado,0.7,0.7,5.3,0.7,1.2,94.7
Fremont County,Colorado,0.6,3.9,12.3,1.7,1.6,90.2
Kiowa County,Colorado,0,0.3,5.6,0.5,1.4,96.3
Contra Costa County,California,14.4,9.3,24.4,0.6,10.7,58.6
Del Norte County,California,3.4,3.5,17.8,7.8,6.9,73.7
El Dorado County,California,3.5,0.8,12.1,1.1,4,86.6
Imperial County,California,1.6,3.3,80.4,1.8,30,58.8
Kern County,California,4.2,5.8,49.2,1.5,24.3,59.5
Kings County,California,3.7,7.2,50.9,1.7,28.1,54.3
Madera County,California,1.9,3.7,53.7,2.7,24.8,62.6
Sabine County,Texas,0.3,7.2,3.2,0.5,1.2,89.1
Middlesex County,Connecticut,2.6,4.7,4.7,0.2,1.3,89.2
New London County,Connecticut,4.2,5.8,8.5,0.9,3.2,82.2
Tolland County,Connecticut,3.4,3.3,4.3,0.2,1.6,89.8
Sussex County,Delaware,1,12.7,8.6,0.8,4.1,79
District of Columbia,District of Columbia,3.5,50.7,9.1,0.3,4.1,38.5
Baker County,Florida,0.5,13.6,1.9,0.3,0.4,83.7
Brevard County,Florida,2.1,10.1,8.1,0.4,1.7,83
Broward County,Florida,3.2,26.7,25.1,0.3,3.7,63.1
Citrus County,Florida,1.4,2.8,4.7,0.3,0.8,93
Collier County,Florida,1.1,6.6,25.9,0.3,6.2,83.9
Duval County,Florida,4.2,29.5,7.6,0.4,2.1,60.9
Gilchrist County,Florida,0.4,5.3,5,0.5,1.4,90.9
Glades County,Florida,0.4,12.3,21.1,4.6,9.9,71
Gulf County,Florida,0.3,18.7,4.3,0.4,0.8,78.1
Hardee County,Florida,1.1,7,42.9,0.6,17.1,72.2
Hendry County,Florida,0.7,13.4,49.2,1.7,21.5,59.9
Hernando County,Florida,1.1,5.1,10.3,0.4,1.9,89.5
Lake County,Colorado,0.5,0.4,39.1,1.3,13.5,80.7
La Plata County,Colorado,0.6,0.4,11.8,5.8,3.3,86.8
Larimer County,Colorado,1.9,0.8,10.6,0.7,3.2,90.5
Lincoln County,Colorado,0.8,5.3,12.5,0.9,2,89
Mesa County,Colorado,0.8,0.6,13.3,1.1,5.4,89.4
Moffat County,Colorado,0.6,0.3,14.4,0.9,5.9,90
Morgan County,Colorado,0.5,2.9,33.8,0.8,13.9,79.4
Ouray County,Colorado,0.6,0.2,4.4,0.4,1,96.4
Pitkin County,Colorado,1.2,0.5,9.1,0.3,3,93.5
Rio Blanco County,Colorado,0.3,0.8,10,0.9,3.7,91.9
Saguache County,Colorado,0.8,0.2,40.1,1.9,12,82.3
San Miguel County,Colorado,0.7,0.4,8.6,0.8,3.4,92.9
Teller County,Colorado,0.7,0.5,5.5,0.9,1.1,94.3
Washington County,Colorado,0.2,0.6,8.5,0.1,2.1,95.3
Polk County,Florida,1.6,14.8,17.7,0.4,5.5,75.2
St. Johns County,Florida,2.1,5.6,5.2,0.3,0.8,89.3
St. Lucie County,Florida,1.6,19.1,16.6,0.4,4.5,71.8
Santa Rosa County,Florida,1.8,5.4,4.3,0.9,1,87.8
Sarasota County,Florida,1.3,4.7,7.9,0.2,2,90.2
Sumter County,Florida,0.7,9.7,6,0.4,1.5,86.6
Union County,Florida,0.2,22.2,4.8,0.4,0.7,75
Volusia County,Florida,1.5,10.5,11.2,0.4,2.9,82.5
Washington County,Florida,0.5,15,2.9,1.3,0.6,80.4
Appling County,Georgia,0.7,18.6,9.3,0.4,5.7,73.4
Bacon County,Georgia,0.3,15.4,7.1,0.2,4.1,78.6
Banks County,Georgia,0.9,2.3,5.7,0.3,3.3,91.7
Berrien County,Georgia,0.4,10.7,4.6,0.3,2.6,84.7
Brantley County,Georgia,0.2,2.9,1.9,0.3,0.7,94.4
Bulloch County,Georgia,1.5,27.6,3.5,0.3,1.7,67.2
Burke County,Georgia,0.3,49.5,2.6,0.2,1.1,47.5
Calhoun County,Georgia,0.4,61.3,3.9,0.1,2.1,34.7
Carroll County,Georgia,0.8,18.2,6.2,0.4,2.8,75.6
Charlton County,Georgia,0.6,28.5,2.5,0.4,0.3,68.6
Cherokee County,Georgia,1.7,5.7,9.6,0.4,3.6,86.6
Clayton County,Georgia,5,66.1,13.7,0.4,7.1,18.9
Coffee County,Georgia,0.7,26.6,10.3,0.3,6.3,64.7
Coweta County,Georgia,1.5,17.3,6.7,0.3,2.9,75.9
Crawford County,Georgia,0.3,22.3,2.4,0.5,1,74.6
Dawson County,Georgia,0.6,0.5,4.1,0.4,1.6,95.6
